"source","dietid","pred_comm","region","prey_comm","nrefs","references","prop_wt","prop_n","prop_energy","prop_occur","prop_model","prop_unk","prop_use","prop_use_type"
"Hilborn et al. (2017)","Hooded seal NW Atlantic","Hooded seal","NW Atlantic","Atlantic herring",1,"Ross 1993 cited by Hammil et al. 1997",NA,NA,0.165,NA,NA,NA,0.165,"energy"
"Hilborn et al. (2017)","Humboldt squid NE Pacific","Humboldt squid","NE Pacific","California market squid",1,"Field et al. 2007",NA,0.015,NA,0.031,NA,NA,0.015,"n"
"Hilborn et al. (2017)","Humboldt squid NE Pacific","Humboldt squid","NE Pacific","Northern anchovy",3,"Field et al. 2007, Field et al. 2013, Markaida et al. 2008",0.049,0.0786666666666667,NA,0.119333333333333,NA,NA,0.049,"wt"
"Hilborn et al. (2017)","Humboldt squid NE Pacific","Humboldt squid","NE Pacific","Pacific chub mackerel",1,"Ehrhardt 1991",0.145,NA,NA,NA,NA,NA,0.145,"wt"
"Hilborn et al. (2017)","Humboldt squid NE Pacific","Humboldt squid","NE Pacific","Pacific hake",2,"Field et al. 2007, Field et al. 2013",0.28,0.161,NA,0.1795,NA,NA,0.28,"wt"
"Hilborn et al. (2017)","Humboldt squid NE Pacific","Humboldt squid","NE Pacific","Pacific sardine",3,"Ehrhardt 1991, Field et al. 2007, Field et al. 2013",0.331625,0.0205,NA,0.061,NA,NA,0.331625,"wt"
"Hilborn et al. (2017)","Humpback whale NE Pacific","Humpback whale","NE Pacific","Northern anchovy",1,"Clapham 1997",NA,NA,NA,0.213,NA,NA,0.213,"occur"
"Hilborn et al. (2017)","Humpback whale NE Pacific","Humpback whale","NE Pacific","Pacific sardine",1,"Clapham 1997",NA,NA,NA,0.514,NA,NA,0.514,"occur"
"Hilborn et al. (2017)","Indo-pacific blue marlin NE Pacific","Indo-pacific blue marlin","NE Pacific","Pacific chub mackerel",1,"Abitia Cardenas 1992",0.0418,0.0521,NA,0.0556,NA,NA,0.0418,"wt"
"Hilborn et al. (2017)","Indo-pacific blue marlin NE Pacific","Indo-pacific blue marlin","NE Pacific","Pacific hake",1,"Abitia Cardenas 1992",0.352275,0.38125,NA,0.166666666666667,NA,NA,0.352275,"wt"
"Hilborn et al. (2017)","Indo-pacific blue marlin NE Pacific","Indo-pacific blue marlin","NE Pacific","Pacific sardine",1,"Abitia Cardenas 1992",0.02605,0.04675,NA,0.075,NA,NA,0.02605,"wt"
"Hilborn et al. (2017)","Indo-Pacific sailfish NE Pacific","Indo-Pacific sailfish","NE Pacific","Pacific chub mackerel",1,"Rosas-Alayola et al. 2002.pdf",0.142,NA,NA,NA,NA,NA,0.142,"wt"
"Hilborn et al. (2017)","Jack mackerel NE Pacific","Jack mackerel","NE Pacific","Northern anchovy",3,"Brodeur et al. 1987, Emmett and Krutzikowsky 2008, Mason and Bishop 2001",0.706,0.2805,NA,0.117,NA,NA,0.706,"wt"
"Hilborn et al. (2017)","Jack mackerel NE Pacific","Jack mackerel","NE Pacific","Pacific hake",1,"Emmett and Krutzikowsky 2008",NA,NA,NA,0.209,NA,NA,0.209,"occur"
"Hilborn et al. (2017)","Jack mackerel NE Pacific","Jack mackerel","NE Pacific","Pacific sardine",2,"Emmet et al. 2005, Emmett and Krutzikowsky 2008",NA,NA,NA,0.385,NA,NA,0.385,"occur"
"Hilborn et al. (2017)","Lingcod NE Pacific","Lingcod","NE Pacific","California market squid",1,"Tinus 2012",NA,0.0093,NA,NA,NA,NA,0.0093,"n"
"Hilborn et al. (2017)","Lingcod NE Pacific","Lingcod","NE Pacific","Northern anchovy",1,"Tinus 2012",NA,0.0062,NA,NA,NA,NA,0.0062,"n"
"Hilborn et al. (2017)","Lingcod NE Pacific","Lingcod","NE Pacific","Pacific hake",1,"Tinus 2012",NA,0.0247,NA,NA,NA,NA,0.0247,"n"
"Hilborn et al. (2017)","Long-beaked common dolphin NE Pacific","Long-beaked common dolphin","NE Pacific","California market squid",1,"Osnes-Erie 1999",NA,0.4994,NA,NA,NA,NA,0.4994,"n"
"Hilborn et al. (2017)","Long-beaked common dolphin NE Pacific","Long-beaked common dolphin","NE Pacific","Northern anchovy",1,"Osnes-Erie 1999",NA,0.2101,NA,NA,NA,NA,0.2101,"n"
"Hilborn et al. (2017)","Long-beaked common dolphin NE Pacific","Long-beaked common dolphin","NE Pacific","Pacific chub mackerel",1,"Osnes-Erie 1999",NA,0.05,NA,NA,NA,NA,0.05,"n"
"Hilborn et al. (2017)","Long-beaked common dolphin NE Pacific","Long-beaked common dolphin","NE Pacific","Pacific hake",1,"Osnes-Erie 1999",NA,0.5191,NA,NA,NA,NA,0.5191,"n"
"Hilborn et al. (2017)","Long-beaked common dolphin NE Pacific","Long-beaked common dolphin","NE Pacific","Pacific sardine",1,"Osnes-Erie 1999",NA,0.3438,NA,NA,NA,NA,0.3438,"n"
"Hilborn et al. (2017)","Long-finned and short-finned pilot whales NW Atlantic","Long-finned and short-finned pilot whales","NW Atlantic","Atlantic mackerel",1,"Overholtz and Waring 1991",NA,0.0834,NA,NA,NA,NA,0.0834,"n"
"Hilborn et al. (2017)","Long-finned pilot whale NW Atlantic","Long-finned pilot whale","NW Atlantic","Atlantic mackerel",1,"Gannon et al. 1997",0.172,NA,NA,NA,NA,NA,0.172,"wt"
"Hilborn et al. (2017)","Long-finned pilot whale NW Atlantic","Long-finned pilot whale","NW Atlantic","Longfin inshore squid",2,"Gannon et al. 1997, Staudinger and Juanes 2010a",0.771,NA,NA,NA,NA,NA,0.771,"wt"
"Hilborn et al. (2017)","Long-finned pilot whale NW Atlantic","Long-finned pilot whale","NW Atlantic","Northern shortfin squid",1,"Gannon et al. 1997",0.048,NA,NA,NA,NA,NA,0.048,"wt"
"Hilborn et al. (2017)","Longbill spearfish NW Atlantic","Longbill spearfish","NW Atlantic","Northern shortfin squid",1,"Logan et al. 2013",0.638,NA,NA,NA,NA,NA,0.638,"wt"
"Hilborn et al. (2017)","Mew gull NE Pacific","Mew gull","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.267,NA,0.333,NA,NA,0.267,"n"
"Hilborn et al. (2017)","Mew gull NE Pacific","Mew gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.267,NA,1,NA,NA,0.267,"n"
"Hilborn et al. (2017)","Night shark NW Atlantic","Night shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.388,NA,NA,NA,NA,NA,0.388,"wt"
"Hilborn et al. (2017)","Northern fulmar NE Pacific","Northern fulmar","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.296,NA,0.697,NA,NA,0.296,"n"
"Hilborn et al. (2017)","Northern fur seal NE Pacific","Northern fur seal","NE Pacific","Northern anchovy",1,"Stroud et al. 1981",NA,NA,NA,0.32,NA,NA,0.32,"occur"
"Hilborn et al. (2017)","Northern fur seal NE Pacific","Northern fur seal","NE Pacific","Pacific hake",1,"Zeppelin and Ream 2006",NA,NA,NA,0.00135,NA,NA,0.00135,"occur"
"Hilborn et al. (2017)","Northern fur seal NE Pacific","Northern fur seal","NE Pacific","Pacific sardine",1,"Clemens and Wilby 1933",NA,0.2,NA,NA,NA,NA,0.2,"n"
"Hilborn et al. (2017)","Northern fur seal NW Atlantic","Northern fur seal","NW Atlantic","Northern anchovy",1,"Perez and Bigg 1986",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Northern fur seal NW Atlantic","Northern fur seal","NW Atlantic","Pacific sardine",1,"Perez and Bigg 1986",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Northern shortfin squid NW Atlantic","Northern shortfin squid","NW Atlantic","Atlantic herring",1,"Dawe et al. 1997",NA,0.03,NA,NA,NA,NA,0.03,"n"
"Hilborn et al. (2017)","Offshore hake NW Atlantic","Offshore hake","NW Atlantic","Longfin inshore squid",2,"Smith and Link 2010, Staudinger and Juanes 2010a",0.213,NA,NA,NA,NA,NA,0.213,"wt"
"Hilborn et al. (2017)","Offshore hake NW Atlantic","Offshore hake","NW Atlantic","Northern shortfin squid",1,"Smith and Link 2010",0.318,NA,NA,NA,NA,NA,0.318,"wt"
"Hilborn et al. (2017)","Osprey NW Atlantic","Osprey","NW Atlantic","Atlantic menhaden",2,"Glass and Watts 2009, Mc Clean and Byrd 1991 cited by Viverette et al. 1991",0.75,0.1285,NA,NA,NA,NA,0.75,"wt"
"Hilborn et al. (2017)","Pacific bluefin tuna NE Pacific","Pacific bluefin tuna","NE Pacific","California market squid",1,"Pinkas et al. 1971",0.0158,NA,NA,NA,NA,NA,0.0158,"wt"
"Hilborn et al. (2017)","Pacific bluefin tuna NE Pacific","Pacific bluefin tuna","NE Pacific","Northern anchovy",1,"Pinkas et al. 1971",0.7999,NA,NA,NA,NA,NA,0.7999,"wt"
"Hilborn et al. (2017)","Pacific bluefin tuna NE Pacific","Pacific bluefin tuna","NE Pacific","Pacific chub mackerel",1,"Pinkas et al. 1971",0.0001,NA,NA,NA,NA,NA,0.0001,"wt"
"Hilborn et al. (2017)","Pacific chub mackerel NE Pacific","Pacific chub mackerel","NE Pacific","Northern anchovy",1,"Molina et al. 1996",0.43,NA,NA,1,NA,NA,0.43,"wt"
"Hilborn et al. (2017)","Pacific hake NE Pacific","Pacific hake","NE Pacific","Northern anchovy",3,"Brodeur et al. 1987, Buckley et al. 1999, Emmett and Krutzikowsky 2008",0.2691,0.253,NA,0.07956,NA,NA,0.2691,"wt"
"Hilborn et al. (2017)","Pacific hake NE Pacific","Pacific hake","NE Pacific","Pacific chub mackerel",1,"Emmett and Krutzikowsky 2008",NA,NA,NA,0.001,NA,NA,0.001,"occur"
"Hilborn et al. (2017)","Pacific hake NE Pacific","Pacific hake","NE Pacific","Pacific hake",2,"Buckley et al. 1999, Emmett and Krutzikowsky 2008",0.4019,0.0152,NA,0.026875,NA,NA,0.4019,"wt"
"Hilborn et al. (2017)","Pacific hake NE Pacific","Pacific hake","NE Pacific","Pacific sardine",2,"Emmet et al. 2005, Emmett and Krutzikowsky 2008",NA,NA,NA,0.192,NA,NA,0.192,"occur"
"Hilborn et al. (2017)","Pacific harbor seal NE Pacific","Pacific harbor seal","NE Pacific","California market squid",3,"Olesiuk 1993, Orr et al. 2014, Torok 1994",0.02125,0.0005,NA,0.0344,NA,NA,0.02125,"wt"
"Hilborn et al. (2017)","Pacific harbor seal NE Pacific","Pacific harbor seal","NE Pacific","Northern anchovy",3,"Luxa and Acevedo 2013, Orr et al. 2014, Torok 1994",0.0155,0.041,NA,0.111625,NA,NA,0.0155,"wt"
"Hilborn et al. (2017)","Pacific harbor seal NE Pacific","Pacific harbor seal","NE Pacific","Pacific chub mackerel",1,"Orr et al. 2014",NA,NA,NA,0.0306666666666667,NA,NA,0.0306666666666667,"occur"
"Hilborn et al. (2017)","Pacific harbor seal NE Pacific","Pacific harbor seal","NE Pacific","Pacific hake",2,"Olesiuk 1993, Orr et al. 2014",0.426,NA,0.333,0.288333333333333,NA,NA,0.426,"wt"
"Hilborn et al. (2017)","Pacific harbor seal NE Pacific","Pacific harbor seal","NE Pacific","Pacific sardine",2,"Luxa and Acevedo 2013, Orr et al. 2004",NA,NA,NA,0.0605,NA,NA,0.0605,"occur"
"Hilborn et al. (2017)","Pacific herring NE Pacific","Pacific herring","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.002,NA,NA,0.167,NA,NA,0.002,"wt"
"Hilborn et al. (2017)","Pacific sanddab NE Pacific","Pacific sanddab","NE Pacific","California market squid",1,"Morejohn et al. 1978",0.18,NA,NA,NA,NA,NA,0.18,"wt"
"Hilborn et al. (2017)","Pacific saury NE Pacific","Pacific saury","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.046,0.059,NA,0.074,NA,NA,0.046,"wt"
"Hilborn et al. (2017)","Pacific white-sided dolphin NE Pacific","Pacific white-sided dolphin","NE Pacific","California market squid",1,"Morejohn et al. 1978",0.05,NA,NA,NA,NA,NA,0.05,"wt"
"Hilborn et al. (2017)","Pacific white-sided dolphin NE Pacific","Pacific white-sided dolphin","NE Pacific","Northern anchovy",1,"Morejohn et al. 1978",0.12,NA,NA,NA,NA,NA,0.12,"wt"
"Hilborn et al. (2017)","Pacific white-sided dolphin NE Pacific","Pacific white-sided dolphin","NE Pacific","Pacific hake",1,"Stroud et al. 1981",NA,NA,NA,0.34,NA,NA,0.34,"occur"
"Hilborn et al. (2017)","Pacific white-sided dolphin NE Pacific","Pacific white-sided dolphin","NE Pacific","Pacific sardine",1,"Stroud et al. 1981",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Pink-footed shearwater NE Pacific","Pink-footed shearwater","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.712,NA,0.6,NA,NA,0.712,"n"
"Hilborn et al. (2017)","Pink-footed shearwater NE Pacific","Pink-footed shearwater","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.089,NA,0.6,NA,NA,0.089,"n"
"Hilborn et al. (2017)","Pollock Europe","Pollock","Europe","Atlantic mackerel",1,"Pinnegar et al. 2003",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Pollock NW Atlantic","Pollock","NW Atlantic","Atlantic herring",2,"fishecology.org, Smith and Link 2010",0.081,NA,NA,NA,NA,NA,0.081,"wt"
"Hilborn et al. (2017)","Pollock NW Atlantic","Pollock","NW Atlantic","Atlantic mackerel",2,"Bowman and Michael 1982, Smith and Link 2010",0.0423333333333333,NA,NA,NA,NA,NA,0.0423333333333333,"wt"
"Hilborn et al. (2017)","Pollock NW Atlantic","Pollock","NW Atlantic","Longfin inshore squid",3,"Bowman et al. 2000, Smith and Link 2010, Staudinger and Juanes 2010a",0.378,NA,NA,NA,NA,NA,0.378,"wt"
"Hilborn et al. (2017)","Pollock NW Atlantic","Pollock","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, fishecology.org",0.046,NA,NA,NA,NA,NA,0.046,"wt"
"Hilborn et al. (2017)","Porbeagle shark NW Atlantic","Porbeagle shark","NW Atlantic","Atlantic herring",1,"Joyce et al. 2002 ",0.062,NA,NA,NA,NA,NA,0.062,"wt"
"Hilborn et al. (2017)","Porbeagle shark NW Atlantic","Porbeagle shark","NW Atlantic","Atlantic mackerel",1,"Joyce et al. 2002 ",0.0311,NA,NA,NA,NA,NA,0.0311,"wt"
"Hilborn et al. (2017)","Porbeagle shark NW Atlantic","Porbeagle shark","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, Joyce et al. 2002 ",0.37455,NA,NA,NA,NA,NA,0.37455,"wt"
"Hilborn et al. (2017)","Red drum NW Atlantic","Red drum","NW Atlantic","Gulf menhaden",1,"Scharf and Schlight 2000",0.38925,NA,NA,NA,NA,NA,0.38925,"wt"
"Hilborn et al. (2017)","Red hake NW Atlantic","Red hake","NW Atlantic","Atlantic herring",2,"fishecology.org, Smith and Link 2010",0.034,NA,NA,NA,NA,NA,0.034,"wt"
"Hilborn et al. (2017)","Red hake NW Atlantic","Red hake","NW Atlantic","Atlantic mackerel",1,"Bowman et al. 2000",0.051,NA,NA,NA,NA,NA,0.051,"wt"
"Hilborn et al. (2017)","Red hake NW Atlantic","Red hake","NW Atlantic","Longfin inshore squid",1,"Smith and Link 2010",0.056,NA,NA,NA,NA,NA,0.056,"wt"
"Hilborn et al. (2017)","Red hake NW Atlantic","Red hake","NW Atlantic","Northern shortfin squid",2,"fishecology.org, Smith and Link 2010",0.02,NA,NA,NA,NA,NA,0.02,"wt"
"Hilborn et al. (2017)","Rhinoceros auklet NE Pacific","Rhinoceros auklet","NE Pacific","California market squid",3,"Baltz and Morejohn 1977, Carle et al. 2015, Morejohn et al. 1978",0.46,0.492,0.03375,0.846,NA,NA,0.46,"wt"
"Hilborn et al. (2017)","Rhinoceros auklet NE Pacific","Rhinoceros auklet","NE Pacific","Northern anchovy",2,"Baltz and Morejohn 1977, Carle et al. 2015",0.205,0.17,0.40375,0.385,NA,NA,0.205,"wt"
"Hilborn et al. (2017)","Sablefish NE Pacific","Sablefish","NE Pacific","Northern anchovy",1,"Buckley et al. 1999",0.0638,0.0009,NA,0.031,NA,NA,0.0638,"wt"
"Hilborn et al. (2017)","Sablefish NE Pacific","Sablefish","NE Pacific","Pacific hake",1,"Buckley et al. 1999",0.11765,0.02585,NA,0.11005,NA,NA,0.11765,"wt"
"Hilborn et al. (2017)","Sandbar shark NW Atlantic","Sandbar shark","NW Atlantic","Atlantic menhaden",1,"Stillwell 1993",0.0336,NA,NA,NA,NA,NA,0.0336,"wt"
"Hilborn et al. (2017)","Sandbar shark NW Atlantic","Sandbar shark","NW Atlantic","Northern shortfin squid",1,"Stillwell 1993",0.0164,NA,NA,NA,NA,NA,0.0164,"wt"
"Hilborn et al. (2017)","Scup NW Atlantic","Scup","NW Atlantic","Longfin inshore squid",1,"Bowman et al. 2000",0.009,NA,NA,NA,NA,NA,0.009,"wt"
"Hilborn et al. (2017)","Short-beaked common dolphin NE Pacific","Short-beaked common dolphin","NE Pacific","California market squid",1,"Osnes-Erie 1999",NA,0.4479,NA,NA,NA,NA,0.4479,"n"
"Hilborn et al. (2017)","Short-beaked common dolphin NE Pacific","Short-beaked common dolphin","NE Pacific","Northern anchovy",1,"Osnes-Erie 1999",NA,0.2515,NA,NA,NA,NA,0.2515,"n"
"Hilborn et al. (2017)","Short-beaked common dolphin NE Pacific","Short-beaked common dolphin","NE Pacific","Pacific chub mackerel",1,"Osnes-Erie 1999",NA,0.1667,NA,NA,NA,NA,0.1667,"n"
"Hilborn et al. (2017)","Short-beaked common dolphin NE Pacific","Short-beaked common dolphin","NE Pacific","Pacific hake",1,"Osnes-Erie 1999",NA,0.6088,NA,NA,NA,NA,0.6088,"n"
"Hilborn et al. (2017)","Short-beaked common dolphin NE Pacific","Short-beaked common dolphin","NE Pacific","Pacific sardine",1,"Osnes-Erie 1999",NA,0.2,NA,NA,NA,NA,0.2,"n"
"Hilborn et al. (2017)","Short-beaked common dolphin NW Atlantic","Short-beaked common dolphin","NW Atlantic","Atlantic mackerel",1,"Overholtz and Waring 1991",NA,0.0834,NA,NA,NA,NA,0.0834,"n"
"Hilborn et al. (2017)","Short-tailed shearwater NE Pacific","Short-tailed shearwater","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.917,NA,0.667,NA,NA,0.917,"n"
"Hilborn et al. (2017)","Shortfin mako shark NE Pacific","Shortfin mako shark","NE Pacific","California market squid",1,"Preti et al. 2012",0.0001,0.0131,NA,0.0336,NA,NA,0.0001,"wt"
"Hilborn et al. (2017)","Shortfin mako shark NE Pacific","Shortfin mako shark","NE Pacific","Northern anchovy",1,"Preti et al. 2012",0.001,0.0131,NA,0.021,NA,NA,0.001,"wt"
"Hilborn et al. (2017)","Shortfin mako shark NE Pacific","Shortfin mako shark","NE Pacific","Pacific chub mackerel",1,"Preti et al. 2012",0.0409,0.1058,NA,0.1513,NA,NA,0.0409,"wt"
"Hilborn et al. (2017)","Shortfin mako shark NE Pacific","Shortfin mako shark","NE Pacific","Pacific sardine",1,"Preti et al. 2012",0.0211,0.1522,NA,0.1261,NA,NA,0.0211,"wt"
"Hilborn et al. (2017)","Shortfin mako shark NW Atlantic","Shortfin mako shark","NW Atlantic","Atlantic mackerel",2,"Bowman et al. 2000, Stillwell and Kohler 1982",0.006,NA,NA,NA,NA,NA,0.006,"wt"
"Hilborn et al. (2017)","Shortfin mako shark NW Atlantic","Shortfin mako shark","NW Atlantic","Atlantic menhaden",1,"Stillwell and Kohler 1982",0.001,NA,NA,NA,NA,NA,0.001,"wt"
"Hilborn et al. (2017)","Shortfin mako shark NW Atlantic","Shortfin mako shark","NW Atlantic","Longfin inshore squid",1,"Bowman et al. 2000",0.115,NA,NA,NA,NA,NA,0.115,"wt"
"Hilborn et al. (2017)","Shortfin mako shark NW Atlantic","Shortfin mako shark","NW Atlantic","Northern shortfin squid",3,"Bowman et al. 2000, Logan et al. 2013, Stillwell and Kohler 1982",0.341333333333333,NA,NA,NA,NA,NA,0.341333333333333,"wt"
"Hilborn et al. (2017)","Shortspine thornyhead NE Pacific","Shortspine thornyhead","NE Pacific","Pacific hake",1,"Buckley et al. 1999",0.224633333333333,0.0776666666666667,NA,0.0900333333333333,NA,NA,0.224633333333333,"wt"
"Hilborn et al. (2017)","Silky shark NE Pacific","Silky shark","NE Pacific","Pacific chub mackerel",1,"Cabrera-Chavez-Costa et al. 2010",0.092,NA,NA,NA,NA,NA,0.092,"wt"
"Hilborn et al. (2017)","Silky shark NW Atlantic","Silky shark","NW Atlantic","Atlantic menhaden",1,"Bowman et al. 2000",0.169,NA,NA,NA,NA,NA,0.169,"wt"
"Hilborn et al. (2017)","Silky shark NW Atlantic","Silky shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.292,NA,NA,NA,NA,NA,0.292,"wt"
"Hilborn et al. (2017)","Silver hake NW Atlantic","Silver hake","NW Atlantic","Atlantic herring",5,"Bowman et al. 2000, fishecology.org, Garrison and Link 2000, Nichols and Breder 1927 cited by Bowman 1984, Vinogradov 1984",0.083375,NA,NA,NA,NA,NA,0.083375,"wt"
"Hilborn et al. (2017)","Silver hake NW Atlantic","Silver hake","NW Atlantic","Atlantic mackerel",4,"Bowman and Michael 1982, Bowman et al. 2000, Overholtz et al. 1991, Vinogradov 1984",0.127833333333333,NA,NA,NA,NA,NA,0.127833333333333,"wt"
"Hilborn et al. (2017)","Silver hake NW Atlantic","Silver hake","NW Atlantic","Longfin inshore squid",5,"Bowman and Michael 1982, Bowman et al. 2000, Staudinger 2006, Staudinger and Juanes 2010a, Waldron 1992",0.0815,NA,NA,NA,NA,NA,0.0815,"wt"
"Hilborn et al. (2017)","Silver hake NW Atlantic","Silver hake","NW Atlantic","Northern shortfin squid",3,"fishecology.org, Staudinger 2006, Waldron 1992",0.1075,NA,NA,NA,NA,NA,0.1075,"wt"
"Hilborn et al. (2017)","Silvery John dory NW Atlantic","Silvery John dory","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Smooth dogfish NW Atlantic","Smooth dogfish","NW Atlantic","Longfin inshore squid",3,"Bowman et al. 2000, Smith and Link 2010, Staudinger and Juanes 2010a",0.034,NA,NA,NA,NA,NA,0.034,"wt"
"Hilborn et al. (2017)","Smooth dogfish NW Atlantic","Smooth dogfish","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Smooth hammerhead shark NE Pacific","Smooth hammerhead shark","NE Pacific","Pacific chub mackerel",2,"Aguilar Castro 2003, Ochoa Diaz 2009",0.130033333333333,0.0393,NA,0.0880666666666667,NA,NA,0.130033333333333,"wt"
"Hilborn et al. (2017)","Smooth hammerhead shark NE Pacific","Smooth hammerhead shark","NE Pacific","Pacific sardine",2,"Aguilar Castro 2003, Ochoa Diaz 2009",0.02104,0.06106,NA,0.10148,NA,NA,0.02104,"wt"
"Hilborn et al. (2017)","Smooth hammerhead shark NW Atlantic","Smooth hammerhead shark","NW Atlantic","Atlantic herring",1,"Bowman et al. 2000",0.171,NA,NA,NA,NA,NA,0.171,"wt"
"Hilborn et al. (2017)","Sooty shearwater NE Pacific","Sooty shearwater","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",0.2,0.366,NA,0.429,NA,NA,0.2,"wt"
"Hilborn et al. (2017)","Sooty shearwater NE Pacific","Sooty shearwater","NE Pacific","Northern anchovy",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",0.18,0.086,NA,0.619,NA,NA,0.18,"wt"
"Hilborn et al. (2017)","Soupfin shark NE Pacific","Soupfin shark","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.003,0.009,NA,0.083,NA,NA,0.003,"wt"
"Hilborn et al. (2017)","Soupfin shark NE Pacific","Soupfin shark","NE Pacific","Pacific hake",1,"Brodeur et al. 1987",0.811,0.33,NA,0.583,NA,NA,0.811,"wt"
"Hilborn et al. (2017)","Soupfin shark NE Pacific","Soupfin shark","NE Pacific","Pacific sardine",1,"Emmet et al. 2005",NA,NA,NA,0.154,NA,NA,0.154,"occur"
"Hilborn et al. (2017)","Spinner shark NW Atlantic","Spinner shark","NW Atlantic","Gulf menhaden",2,"Bethea 2003, Bethea et al. 2004",0.6705,NA,NA,NA,NA,NA,0.6705,"wt"
"Hilborn et al. (2017)","Spiny dogfish NW Atlantic","Spiny dogfish","NW Atlantic","Atlantic herring",4,"Bowman et al. 2000, fishecology.org, Overholtz and Link 2007, Vinogradov 1984",0.114478260869565,NA,NA,NA,NA,NA,0.114478260869565,"wt"
"Hilborn et al. (2017)","Spiny dogfish NW Atlantic","Spiny dogfish","NW Atlantic","Atlantic mackerel",2,"Bowman et al. 2000, Overholtz et al. 1991",0.258,NA,NA,NA,NA,NA,0.258,"wt"
"Hilborn et al. (2017)","Spiny dogfish NW Atlantic","Spiny dogfish","NW Atlantic","Atlantic menhaden",2,"Bangley 2012, Bowman et al. 2000",0.230475,NA,NA,NA,NA,NA,0.230475,"wt"
"Hilborn et al. (2017)","Spiny dogfish NW Atlantic","Spiny dogfish","NW Atlantic","Longfin inshore squid",1,"Staudinger and Juanes 2010a",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Spiny dogfish NW Atlantic","Spiny dogfish","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,NA,NA,"none"
"Hilborn et al. (2017)","Spotted hake NW Atlantic","Spotted hake","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.03,NA,NA,NA,NA,NA,0.03,"wt"
"Hilborn et al. (2017)","Spotted hake NW Atlantic","Spotted hake","NW Atlantic","Longfin inshore squid",2,"Smith and Link 2010, Staudinger and Juanes 2010a",0.099,NA,NA,NA,NA,NA,0.099,"wt"
"Hilborn et al. (2017)","Spotted hake NW Atlantic","Spotted hake","NW Atlantic","Northern shortfin squid",1,"Smith and Link 2010",0.02875,NA,NA,NA,NA,NA,0.02875,"wt"
"Hilborn et al. (2017)","Spotted spiny dogfish NE Pacific","Spotted spiny dogfish","NE Pacific","Northern anchovy",2,"Bigman 2013, Brodeur et al. 1987",0.077875,0.022,NA,0.0453333333333333,NA,NA,0.077875,"wt"
"Hilborn et al. (2017)","Spotted spiny dogfish NE Pacific","Spotted spiny dogfish","NE Pacific","Pacific hake",2,"Bigman 2013, Brodeur et al. 1987",0.1469,0.0165,NA,0.09,NA,NA,0.1469,"wt"
"Hilborn et al. (2017)","Spotted spiny dogfish NE Pacific","Spotted spiny dogfish","NE Pacific","Pacific sardine",1,"Bigman 2013",0.0621,NA,NA,NA,NA,NA,0.0621,"wt"
"Hilborn et al. (2017)","Steller sea lion NE Pacific","Steller sea lion","NE Pacific","Northern anchovy",1,"Riemer et al. 2011",NA,NA,NA,0.14,NA,NA,0.14,"occur"
"Hilborn et al. (2017)","Steller sea lion NE Pacific","Steller sea lion","NE Pacific","Pacific chub mackerel",1,"Riemer et al. 2011",NA,NA,NA,0.0105,NA,NA,0.0105,"occur"
"Hilborn et al. (2017)","Steller sea lion NE Pacific","Steller sea lion","NE Pacific","Pacific hake",2,"Riemer et al. 2011, Tollit et al. 2015",NA,0.0616,0.074,0.583666666666667,NA,NA,0.0616,"n"
"Hilborn et al. (2017)","Steller sea lion NE Pacific","Steller sea lion","NE Pacific","Pacific sardine",1,"Riemer et al. 2011",NA,NA,NA,0.0835,NA,NA,0.0835,"occur"
