"source","stocklong","reference","year","n","n_units","catch","notes"
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1990,0,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1990,0.955,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1990,0.9828,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1990,0.3441,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1991,0.2793,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1991,0.5665,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1991,0.6221,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1991,0.4555,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1992,0.5668,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1992,1.1411,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1992,0.1595,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1992,0,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1993,0.2153,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1993,0.5857,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1993,0.0489,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1993,0,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1994,0.0676,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1994,0,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1994,0.003045,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1995,0.0031344,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1995,0.0032238,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1995,0.3737,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1995,0.2349,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1996,0.0035119,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1996,2.0406,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1996,0.1703,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1996,0.0038001,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1997,0.7354,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1997,0.2078,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1997,0.0041577,"density (spring)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]","Hyrenbach and Veit 2003",1998,1.2173,"density (summer)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]","Hyrenbach and Veit 2003",1998,0.0043763,"density (fall)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]","Hyrenbach and Veit 2003",1998,0.1434,"density (winter)",NA,NA
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]","Hyrenbach and Veit 2003",1998,0.0045352,"density (spring)",NA,NA
"Hilborn et al. (2017)","Pacific white-sided dolphin CA/OR/WA [abundance (weighted mean)]","NOAA 2000",1993,25825,"abundance (weighted mean)",NA,NA
"Hilborn et al. (2017)","Pacific white-sided dolphin CA/OR/WA [abundance (weighted mean)]","NOAA 2003",1998,59274,"abundance (weighted mean)",NA,NA
"Hilborn et al. (2017)","Pacific white-sided dolphin CA/OR/WA [abundance (geometric mean)]","NOAA 2008",2003,20719,"abundance (geometric mean)",NA,NA
"Hilborn et al. (2017)","Pacific white-sided dolphin CA/OR/WA [abundance (geometric mean)]","NOAA 2013",2007,26930,"abundance (geometric mean)",NA,NA
"Hilborn et al. (2017)","Short-beaked common dolphin CA/OR/WA [abundance (weighted mean)]","NOAA 2000",1993,373573,"abundance (weighted mean)",NA,NA
"Hilborn et al. (2017)","Short-beaked common dolphin CA/OR/WA [abundance (weighted mean)]","NOAA 2003",1998,449846,"abundance (weighted mean)",NA,NA
"Hilborn et al. (2017)","Short-beaked common dolphin CA/OR/WA [abundance (geometric mean)]","NOAA 2008",2003,392733,"abundance (geometric mean)",NA,NA
"Hilborn et al. (2017)","Short-beaked common dolphin CA/OR/WA [abundance (geometric mean)]","NOAA 2011",2007,411211,"abundance (geometric mean)",NA,NA
"Hilborn et al. (2017)","Long-beaked common dolphin CA/OR/WA [abundance (weighted mean)]","NOAA 2003",1993,43360,"abundance (weighted mean)",NA,NA
"Hilborn et al. (2017)","Long-beaked common dolphin CA/OR/WA [abundance (est.)]","NOAA 2008",2001,20076,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Long-beaked common dolphin CA/OR/WA [abundance (est.)]","NOAA 2010",2005,11714,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Long-beaked common dolphin CA/OR/WA [abundance (est.)]","NOAA 2012",2008,62447,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Long-beaked common dolphin CA/OR/WA [abundance (est.)]","NOAA 2012",2009,183396,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Dall's porpoise CA/OR/WA [abundance (weighted mean)]","NOAA 2000",1993,116016,"abundance (weighted mean)",NA,NA
"Hilborn et al. (2017)","Dall's porpoise CA/OR/WA [abundance (weighted mean)]","NOAA 2003",1998,98617,"abundance (weighted mean)",NA,NA
"Hilborn et al. (2017)","Dall's porpoise CA/OR/WA [abundance (geometric mean)]","NOAA 2008",2003,48376,"abundance (geometric mean)",NA,NA
"Hilborn et al. (2017)","Dall's porpoise CA/OR/WA [abundance (geometric mean)]","NOAA 2010",2007,42000,"abundance (geometric mean)",NA,NA
"Hilborn et al. (2017)","Harbor porpoise Monterrey Bay [abundance (est.)]","NOAA 2013",2011,3715,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Harbor porpoise Monterrey Bay [abundance (est.)]","NOAA 2009",2004,1492,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Harbor porpoise Monterrey Bay [abundance (est.)]","NOAA 2005",2001,1613,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Harbor porpoise Monterrey Bay [abundance (est.)]","NOAA 2003",1998,1603,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",1993,1.88,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",1994,5.09,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",1995,1.76,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",1996,6.47,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",1997,1.39,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",1998,3.33,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",1999,2.4,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2000,1.01,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2001,0.29,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2002,0.99,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2003,0.08,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2004,5.6,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2005,0.44,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2006,14.03,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2007,5.45,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Eastern Pacific bonito Southern California [cpue (tons/trip)]","Mandy 2008",2008,5.86,"cpue (tons/trip)",NA,NA
"Hilborn et al. (2017)","Black-legged kittiwake Pribilof Islands [abundance (est.)]","Jahncke et al. 2008",1977,279130,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Black-legged kittiwake Pribilof Islands [abundance (est.)]","Jahncke et al. 2008",1987,150510,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Black-legged kittiwake Pribilof Islands [abundance (est.)]","Jahncke et al. 2008",1996,148510,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Black-legged kittiwake Pribilof Islands [abundance (est.)]","Jahncke et al. 2008",2001,132220,"abundance (est.)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1987,0.4308,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1987,0.4308,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1987,19.0974,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1988,9.6205,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1988,0.1436,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1988,0,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1988,0.7179,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1989,0.1436,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1989,0.4308,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1989,0.4308,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1989,30.2974,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1990,1.0051,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1990,4.1641,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1990,1.5795,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1990,102.3795,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1991,7.3231,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1991,7.3231,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1991,0.4308,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1991,8.4718,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1992,2.1538,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1992,16.5128,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1992,3.5897,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1992,19.0974,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1993,121.3333,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1993,3.0154,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1993,1.0051,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1993,2.7282,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1994,19.3846,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1994,0.4308,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1994,0.7179,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1995,1.2923,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1995,1.0051,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1995,0.4308,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1995,2.1538,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1996,7.6103,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1996,0.7179,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1996,1.8667,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1996,17.3744,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1997,0.7179,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1997,2.1538,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1997,67.6308,"density (spring)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (summer)]","Hyrenbach and Veit 2003",1998,11.6308,"density (summer)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (fall)]","Hyrenbach and Veit 2003",1998,1.8667,"density (fall)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (winter)]","Hyrenbach and Veit 2003",1998,0.1436,"density (winter)",NA,NA
"Hilborn et al. (2017)","Black-vented shearwater Southern California [density (spring)]","Hyrenbach and Veit 2003",1998,11.6308,"density (spring)",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1965,7.16,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1966,7.35,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1967,5.76,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1968,9.34,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1970,6.01,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1971,13.17,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1972,13.17,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1973,8.48,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1974,6.49,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1975,2.05,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1976,4.39,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1979,4.36,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1980,5.82,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1981,5.97,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1982,1.89,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1983,1.03,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1984,1.09,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1985,5.97,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1986,4.04,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1987,3.21,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1988,1.37,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1989,3.65,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1990,3.02,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1991,4.79,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1992,3.68,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1993,2.04,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1994,2.1,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1995,3.14,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1996,2.6,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1997,2.79,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1998,3.71,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",1999,10.23,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",2000,4.75,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",2001,10.04,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",2002,10.01,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Wilson and Tasks Rivers [abundance index]","OR Native Fish Status Report Vol II",2003,13.15,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1965,11.95,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1966,1.07,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1967,3.98,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1968,1.07,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1969,2.97,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1970,1.07,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1971,1.99,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1972,1.07,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1973,2.02,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1974,2.02,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1979,2.99,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1980,2.99,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1982,1.06,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1984,1.06,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1985,2.01,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1986,4.98,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1988,1.06,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1989,2,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1990,2,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1991,5.04,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1992,1.05,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1993,1.02,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1994,0.07,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1995,1.21,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1996,3.33,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1997,1.55,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1998,2.53,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",1999,2.91,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",2000,8.44,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",2001,3.16,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",2002,9.29,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",2003,9.67,"abundance index",NA,NA
"Hilborn et al. (2017)","Cutthroat trout Nestucca River [abundance index]","OR Native Fish Status Report Vol II",2004,13.62,"abundance index",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",1992,218712,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",1994,228711,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",1996,211673,"pups",NA,NA
