FF Common,FF Scientific,Predator Common,Predator Scientific,Season,Year,Abundance,Unit,Source,Study Location,Country,size of FF eaten (mm),age of FF eaten,% FF in diet,% Units,Notes
sandeel,,atlantic puffin,Fratercula arctica,,2005,,,"% Anker-Nilssen and Aarvak 2006 Tabell 3.2, size=Tabell 3.4",Hernyken,Norway,45,,0.10,"% chicks, by weight, size=mean, and not specificed adult or chicks",
blue whiting,,atlantic puffin,Fratercula arctica,,2005,,,"% Anker-Nilssen and Aarvak 2006 Tabell 3.2, size=Tabell 3.4",Hernyken,Norway,62.2,,6.40,"% chicks, by weight, size=mean, and not specificed adult or chicks",
SS herring,,atlantic puffin,Fratercula arctica,,1988-2003,,,Anker-Nilssen and Aarvak 2006 Tabell 3.4,Hernyken,Norway,52.1,,,"mean, and not specificed adult or chicks",
sandeel,,atlantic puffin,Fratercula arctica,,1988-2003,,,Anker-Nilssen and Aarvak 2006 Tabell 3.4,Hernyken,Norway,80.4,,,"mean, and not specificed adult or chicks",
whiting,,atlantic puffin,Fratercula arctica,,1988-2003,,,Anker-Nilssen and Aarvak 2006 Tabell 3.4,Hernyken,Norway,84.1,,,"mean, and not specificed adult or chicks",
sandeel,,shag,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,13.05,"adults, by mass",
SS herring,,black leg kittiwake,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,34.22,"adults, by mass",
sandeel,,common guillemot,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,36.21,"chicks, frequency of occurrence",
herring,,common guillemot,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,3.20,"chicks, frequency of occurrence",
sandeel,,razorbill,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,51.57,"chicks, frequency of occurrence",
SS herring,,razorbill,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,20.06,"chicks, frequency of occurrence",
sandeel,,atlantic puffin,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,4.09,"chicks, frequency of occurrence",
SS herring,,atlantic puffin,,,2009,,,Anker-Nilssen 2010 Figure 3,Rost,Norway,,,61.92,"chicks, frequency of occurrence",
capelin,,minke whale,,,1990,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,2+,14.87,1990-year of high capelin abundance,
capelin,,minke whale,,,1990,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1,6.33,1990-year of high capelin abundance,
capelin,,minke whale,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,2+,4.70,1995-year of low capelin abundance,
capelin,,minke whale,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1,2.00,1995-year of low capelin abundance,
capelin,,harp seal,,,1990,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,2+,33.00,1990-year of high capelin abundance,
capelin,,harp seal,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,2+,1.00,1995-year of low capelin abundance,
capelin,,cod,,,1990,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,2+,20.71,1990-year of high capelin abundance,
capelin,,cod,,,1990,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1,20.71,1990-year of high capelin abundance,
capelin,,cod,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,2+,7.20,1995-year of low capelin abundance,
capelin,,cod,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1,7.20,1995-year of low capelin abundance,
herring,,minke whale,,,1990,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1-3,39.90,1990-year of high capelin abundance,
herring,,minke whale,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1-3,38.40,1995-year of low capelin abundance,
herring,,harp seal,,,1990,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1-3,10.17,1990-year of high capelin abundance,
herring,,harp seal,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,4+,10.00,1995-year of low capelin abundance,
herring,,harp seal,,,1995,,,Blanchard et al 2002 Table 8,Barents Sea,Norway,,1-3,7.30,1995-year of low capelin abundance,
whiting,,hake,,,,,,Mackinson and Daskalov 2007 Table 3.4,,North Sea,,,30.90,,
norway pout,,saithe,,,,,,Mackinson and Daskalov 2007 Table 3.4,,North Sea,,,23.70,diet of juvenile saithe,
norway pout,,saithe,,,,,,Mackinson and Daskalov 2007 Table 3.4,,North Sea,,,32.20,diet of adult saithe,
norway pout,,horse mackerel,,,,,,Mackinson and Daskalov 2007 Table 3.4,,North Sea,,,22.90,,
norway pout,,megrim,,,,,,Mackinson and Daskalov 2007 Table 3.4,,North Sea,,,24.00,,
norway pout,,crabs,,,,,,Mackinson and Daskalov 2007 Table 3.4,,North Sea,,,24.00,,
sprat,,megrim,,,,,,Mackinson and Daskalov 2007 Table 3.4,,North Sea,,,33.80,,
,,cormorant (guanay),Phalacrocorax bougainvillii,,1953,13821667,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
anchoveta,Engraulis ringens,cormorant (guanay),Phalacrocorax bougainvillii,,1954,21275000,population of adults,#-Muck and Pauly 1987 Table 3; size=Muck and Pauly 1987 Figure 1,6-14û S,Peru,122.95,,,bolus,"monthly values averaged, size=weighted mean"
anchoveta,Engraulis ringens,cormorant (guanay),Phalacrocorax bougainvillii,,1955,20806667,population of adults,#-Muck and Pauly 1987 Table 3; size=Muck and Pauly 1987 Figure 1,6-14û S,Peru,122.95,,,bolus,"monthly values averaged, size=weighted mean"
anchoveta,Engraulis ringens,cormorant (guanay),Phalacrocorax bougainvillii,,1956,17780833,population of adults,#-Muck and Pauly 1987 Table 3; size=Muck and Pauly 1987 Figure 1,6-14û S,Peru,122.95,,,bolus,"monthly values averaged, size=weighted mean"
anchoveta,Engraulis ringens,cormorant (guanay),Phalacrocorax bougainvillii,,1957,9131667,population of adults,#-Muck and Pauly 1987 Table 3; size=Muck and Pauly 1987 Figure 1,6-14û S,Peru,122.95,,,bolus,"monthly values averaged, size=weighted mean"
anchoveta,Engraulis ringens,cormorant (guanay),Phalacrocorax bougainvillii,,1958,6332500,population of adults,#-Muck and Pauly 1987 Table 3; size=Muck and Pauly 1987 Figure 1,6-14û S,Peru,122.95,,,bolus,"monthly values averaged, size=weighted mean"
,,cormorant (guanay),Phalacrocorax bougainvillii,,1959,11223333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1960,10960833,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1961,13506667,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1962,13043333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1963,10850000,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1964,13270833,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1965,3858333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1966,2273333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
anchoveta,Engraulis ringens,cormorant (guanay),Phalacrocorax bougainvillii,,1967,2815833,population of adults,"#-Muck and Pauly 1987 Table 3; %-from Jordan 1967, Avila 1954 in Muck and Pauly 1987 Table 1",6-14û S,Peru,,,96.00,,monthly values averaged; 
,,cormorant (guanay),Phalacrocorax bougainvillii,,1968,2983333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1969,1906667,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1970,2085833,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1971,3015833,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1972,1084167,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1973,703333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1974,755833,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1975,1033333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1976,887500,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1977,1134167,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1978,1109167,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1979,1765833,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1980,2083333,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1981,2776667,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,cormorant (guanay),Phalacrocorax bougainvillii,,1982,3135833,population of adults,Muck and Pauly 1987 Table 3,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1953,1991667,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1954,2399167,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1955,2711667,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1956,2725000,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1957,1320000,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1958,1176667,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1959,1455000,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1960,1804167,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1961,1796667,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1962,1993333,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1963,1697500,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1964,1883333,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1965,1146667,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1966,1137500,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1967,1037500,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2, %-from Jordan 1967 in Muck and Pauly 1987 Table 1",6-14û S,Peru,121.38,,80.00,bolus,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1968,1157500,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1969,1298333,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1970,1296667,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1971,1497500,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1972,762500,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1973,904167,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1974,1324167,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1975,1354167,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1976,1338333,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1977,1533333,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
anchoveta,Engraulis ringens,boobies,Sula variegate,,1978,2325833,population of adults,"#-Muck and Pauly 1987 Table 4, size=Figure 2",6-14û S,Peru,121.38,,,,monthly values averaged
,,boobies,Sula variegate,,1979,1800833,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1980,1706667,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1981,1959167,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,boobies,Sula variegate,,1982,1825000,population of adults,Muck and Pauly 1987 Table 4,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1953,1991667,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1954,2399167,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1955,2711667,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1956,2725000,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1957,1320000,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1958,1176667,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1959,1455000,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1960,1804167,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1961,1796667,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1962,1993333,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1963,1697500,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1964,1883333,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1965,1146667,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1966,1137500,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
anchoveta,Engraulis ringens,peruvian pelican,Pelecanus thagus,,1967,1037500,population of adults,#-Muck and Pauly 1987 Table 5; %-from Jordan 1967 in Muck and Pauly 1987 Table 1,6-14û S,Peru,,,80.00,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1968,1157500,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1969,1298333,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1970,1296667,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1971,1497500,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1972,762500,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1973,904167,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1974,1324167,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1975,1354167,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1976,1338333,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1977,1533333,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1978,2325833,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1979,1800833,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1980,1706667,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1981,1959167,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
,,peruvian pelican,Pelecanus thagus,,1982,1825000,population of adults,Muck and Pauly 1987 Table 5,6-14û S,Peru,,,,,monthly values averaged
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,Jan-Aug,1976,1200,t,"size=Muck and Pauly Figure 7; biomass=Table 1, p251",,Peru,110,,51.42,,"% is for each size value, mean did not reflect bimodial distribution"
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,Jan-Aug,1976,1200,t,"size=Muck and Pauly Figure 7; biomass=Table 1, p251",,Peru,130,,7.70,,"% is for each size value, mean did not reflect bimodial distribution"
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,Jan-Aug,1976,1200,t,"size=Muck and Pauly Figure 7; biomass=Table 1, p251",,Peru,150,,3.62,,"% is for each size value, mean did not reflect bimodial distribution"
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,Jan-Aug,1976,1200,t,"size=Muck and Pauly Figure 7; biomass=Table 1, p251",,Peru,170,,35.85,,"% is for each size value, mean did not reflect bimodial distribution"
,,bonito,Sarda chiliensis chiliensis,,1951,63700,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1952,64600,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1953,64400,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1954,61100,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,,1955,52200,t,#-Muck and Pauly 1987 Table 1 p 251; % from Vildoso 1955 in Muck and Pauly pdf p270,4-14û S,Peru,,,76.00,,
,,bonito,Sarda chiliensis chiliensis,,1956,51200,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1957,55600,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1958,52600,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1959,47800,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1960,45600,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1961,46200,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1962,50300,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1963,45800,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1964,48700,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1965,44000,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1966,39900,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,,1967,28700,t,#-Muck and Pauly 1987 Table 1 p 251; % from Canal 1974  in Muck and Pauly pdf p270,4-14û S,Peru,,,77-85,,
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,,1968,19500,t,#-Muck and Pauly 1987 Table 1 p 251; % from Canal 1974  in Muck and Pauly pdf p270,4-14û S,Peru,,,77-85,,
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,,1969,16900,t,#-Muck and Pauly 1987 Table 1 p 251; % from Canal 1974  in Muck and Pauly pdf p270,4-14û S,Peru,,,77-85,,
,,bonito,Sarda chiliensis chiliensis,,1970,19700,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,,1971,21100,t,#-Muck and Pauly 1987 Table 1 p 251; % from Canal 1974  in Muck and Pauly pdf p270,4-14û S,Peru,,,77-85,,
anchoveta,Engraulis ringens,bonito,Sarda chiliensis chiliensis,,1972,18700,t,#-Muck and Pauly 1987 Table 1 p 251; % from Canal 1974  in Muck and Pauly pdf p270,4-14û S,Peru,,,77-85,,
,,bonito,Sarda chiliensis chiliensis,,1973,10700,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1974,4100,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1975,1300,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1977,1200,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1978,1300,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1979,1400,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1980,1700,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1981,2700,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1982,3500,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
,,bonito,Sarda chiliensis chiliensis,,1983,4200,t,Muck and Pauly 1987 Table 1 p 251,4-14û S,Peru,,,,,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1976,,,"%-Muck and Pauly Table 1 pdf p287, size=Figure 2, pdf p288",Chimbote,Peru,112.95,,16.40,% of stomach content weight,"size is weighted mean by %, for mackerel 28-64cm long"
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1977,700000,t,#-Muck and Pauly pdf p 292,,Peru,,,,,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1978,1500000,t,%-Muck and Pauly Table 1 pdf p287; #-Muck and Pauly pdf p 292,,Peru,,,10.10,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1979,1200000,t,%-Muck and Pauly Table 1 pdf p287; #-Muck and Pauly pdf p 292,,Peru,,,7.70,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1980,1400000,t,%-Muck and Pauly Table 1 pdf p287; #-Muck and Pauly pdf p 292,,Peru,,,8.90,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1981,1400000,t,%-Muck and Pauly Table 1 pdf p287; #-Muck and Pauly pdf p 292,,Peru,,,4.20,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1982,,,%-Muck and Pauly Table 1 pdf p287,,Peru,,,0.30,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,"""Normal""",1979,,,%-Muck and Pauly Figure 1 pdf p288,Callao - 9S,Peru,,,57.00,% of total weight composition,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,"""El Nino""",1982,,,%-Muck and Pauly Figure 1 pdf p288,Callao - 9S,Peru,,,0.00,% of total weight composition,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,"""Normal""",1979,,,%-Muck and Pauly Figure 1 pdf p288,Pisco - 14S,Peru,,,75.00,% of total weight composition,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,"""El Nino""",1982,,,%-Muck and Pauly Figure 1 pdf p288,Pisco - 14S,Peru,,,20.00,% of total weight composition,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1979,,,%-Muck and Pauly Table 3 pdf p 290,Paita - 5S,Peru,,,0.80,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1979,,,%-Muck and Pauly Table 3 pdf p 290,Chimbote - 9S,Peru,,,37.80,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1979,,,%-Muck and Pauly Table 3 pdf p 290,Callao - 12S,Peru,,,48.60,% of stomach content weight,
anchoveta,Engraulis ringens,mackerel,Scomber japonicus,,1979,,,%-Muck and Pauly Table 3 pdf p 290,Ilo - 17S,Peru,,,39.00,% of stomach content weight,
anchoveta,Engraulis ringens,horse mackerel,Trachurus murphyi,,1979,3500000,t,%-Muck and Pauly Table 3 pdf p 290; #-Muck and Pauly 1987 pdf p 292,Paita - 5S,Peru,,,0.00,% of stomach content weight,
