Prey,Predator,Predator_type,Predator_stage_or_Length,Predator_stage,abundance_data,year_diet_data_from,month_diet_data_from,name of month NB,year_diet_data_to,month_diet_data_to,name of month NB,season of diet data NB,season of diet data with no NA NB,range of diet data years NB,N_samples,prey_size_mm_min,prey_size_mm_max,prey size range NB,prey size range.mm pasted NB,prey_size_mm_mean,prey_size_mm_sd,prey_size_mm_median,Comment,Measurement_Method,proportion_diet_fracN_mean,proportion_diet_fracW_mean,W_or_Vol,Energetic_contributionfrac,IRI,fracFO,fracFO_SD,Area,Larger_area,Method,Reference
Northern anchovy,Brandt cormorant,sea birds,,,YES,2006,9,Sep,2008,3,Mar,Sep-Mar,Sep-Mar,2006-2008,49,80,92,80-92,80-92,86,6,,,otolith length_standard length regressions ,,,,,,,,MonterreyBay,CA,pellets sampling,Webb2013
Northern anchovy,Brandt cormorant,sea birds,,,YES,2006,9,Sep,2007,3,Mar,Sep-Mar,Sep-Mar,2006-2007,67,,,#NAME?,,,,,authors found difference in iet within and outcoast the Bay,,71.7,,,,,89.6,,MonterreyBay,CA,pellets sampling,Webb2013
Northern anchovy,Brandt cormorant,sea birds,,,YES,2007,9,Sep,2008,3,Mar,Sep-Mar,Sep-Mar,2007-2008,162,,,#NAME?,,,,,authors found difference in iet within and outcoast the Bay,,44.7,,,,,69,,MonterreyBay,CA,pellets sampling,Webb2013
Northern anchovy,Brandt cormorant,sea birds,,,YES,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,6,,,#NAME?,,,,,,,23.4,,,,,16.7,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Pacific hake,bony fishes,StLength290-690mm,,YES,1989,,#N/A,1992,,#N/A,#N/A,,1989-1992,,43,160,43-160,43-160,,,,,,,,,,,,,CapeBlanco,CA_OR_WA,stomach sampling,Buckleyetal1999
Northern anchovy,Pacific hake,bony fishes,,,YES,1982,5,May,1982,9,Sep,May-Sep,May-Sep,1982,65,,,#NAME?,,,,,,,47.4,,,,,16.4,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Pacific hake,bony fishes,,,YES,1983,5,May,1983,9,Sep,May-Sep,May-Sep,1983,18,,,#NAME?,,,,,,,3.2,,,,,10,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Black rockfish,bony fishes,,,YES,1983,5,May,1983,9,Sep,May-Sep,May-Sep,1983,20,,,#NAME?,,,,,,,0.6,41.9,,,,10.5,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Jack mackerel,bony fishes,Juveniles,juvenile,YES,,,#N/A,,,#N/A,#N/A,,0,,,,#NAME?,,,,,"Jack mackerel juveniles feed almost exclusivelyon juvenile squid and anchovies",,,,,,,,,,,,MasonandBishop2001
Northern anchovy,Jack mackerel,bony fishes,,,YES,1982,5,May,1982,9,Sep,May-Sep,May-Sep,1982,25,,,#NAME?,,,,,,,56,70.6,,,,35,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Jack mackerel,bony fishes,,,YES,1983,5,May,1983,9,Sep,May-Sep,May-Sep,1983,48,,,#NAME?,,,,,,,0.1,,,,,2.6,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Jack mackerel,bony fishes,StLength300-580mm,,YES,2000,,#N/A,2000,,#N/A,#N/A,,2000,,,,#NAME?,,,,,,,,,,,,0.2,,OffColumbiaRiver,OR_WA,stomach sampling,EmmettandKrutzikowsky2008
Northern anchovy,Jack mackerel,bony fishes,StLength250-600mm,,YES,2003,,#N/A,2003,,#N/A,#N/A,,2003,,,,#NAME?,,,,,,,,,,,,0.7,,OffColumbiaRiver,OR_WA,stomach sampling,EmmettandKrutzikowsky2008
Northern anchovy,Jack mackerel,bony fishes,StLength230-580mm,,YES,2004,,#N/A,2004,,#N/A,#N/A,,2004,,,,#NAME?,,,,,,,,,,,,20,,OffColumbiaRiver,OR_WA,stomach sampling,EmmettandKrutzikowsky2008
Northern anchovy,Pacific saury,bony fishes,,,YES,1984,6,Jun,1984,9,Sep,Jun-Sep,Jun-Sep,1984,29,,,#NAME?,,,,,,,5.9,4.6,,,,7.4,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Cutthroat trout ,bony fishes,,,YES,1981,5,May,1981,8,Aug,May-Aug,May-Aug,1981,32,,,#NAME?,,,,,,,27.8,69.9,,,,53.6,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Cutthroat trout ,bony fishes,,,YES,1982,5,May,1984,9,Sep,May-Sep,May-Sep,1982-1984,16,,,#NAME?,,,,,,,2.1,26,,,,13.3,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Blue shark,cartilaginous fishes,,,YES,1981,5,May,1984,9,Sep,May-Sep,May-Sep,1981-1984,14,,,#NAME?,,,,,,,44.4,10.4,,,,16.7,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Blue shark,cartilaginous fishes,,,YES,1995,4,Apr,1997,5,May,Apr-May,Apr-May,1995-1997,893,111,,111-,111-,,,,,otolith length_standard length regressions ,0.91,0.67,,,,1.79,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Northern anchovy,Blue shark,cartilaginous fishes,,,YES,1996,3,Mar,1996,3,Mar,Mar,Mar,1996,19,,,#NAME?,,,,,,,3.6,10.3,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Northern anchovy,Blue shark,cartilaginous fishes,TotalLengthMean115.1cm_SD20.2cm,,YES,1996,3,Mar,1996,3,Mar,Mar,Mar,1996,65,,,#NAME?,,,,,,,2,11.5,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Northern anchovy,Blue shark,cartilaginous fishes,,,YES,1996,5,May,1996,5,May,May,May,1996,48,,,#NAME?,,,,,,,7,8.5,,,,,,BajaCal,MEX,stomach sampling,MarkaidaandSosa2010
Northern anchovy,Shortfin mako shark,cartilaginous fishes,TotalLengthRange50-250cm,,NO,2002,,#N/A,2008,,#N/A,#N/A,,2002-2008,238,,,#NAME?,,,,,,,1.31,0.1,,,,2.1,,CA_OR_WA,CA_OR_WA,stomach sampling,Pretietal2012
Northern anchovy,Common thresher shark,cartilaginous fishes,TotalLengthRange100-230cm,,YES,2002,,#N/A,2008,,#N/A,#N/A,,2002-2008,157,,,#NAME?,,,,,,,55.16,25.74,,,,37.58,,CA_OR_WA,CA_OR_WA,stomach sampling,Pretietal2012
Northern anchovy,Common thresher shark,cartilaginous fishes,,,YES,1998,8,Aug,1999,1,Jan,Aug-Jan,Aug-Jan,1998-1999,107,,,#NAME?,,,,,Warm-water period,,31.87,30.12,,,,21.49,,CA_OR,CA_OR,stomach sampling,Pretietal2004
Northern anchovy,Common thresher shark,cartilaginous fishes,TotalLengthRange70-270cm,,YES,1999,7,Jul,2000,5,May,Jul-May,Jul-May,1999-2000,67,,,#NAME?,,,,,Cool-water period,,53.09,68,,,,34.33,,CA_OR,CA_OR,stomach sampling,Pretietal2004
Northern anchovy,Spiny dogfish,cartilaginous fishes,,,YES,1981,5,May,1981,8,Aug,May-Aug,May-Aug,1981,23,,,#NAME?,,,,,,,3.5,17.8,,,,5.9,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Spiny dogfish,cartilaginous fishes,,,YES,1982,5,May,1982,9,Sep,May-Sep,May-Sep,1982,81,,,#NAME?,,,,,,,0.5,0.3,,,,1.8,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Spiny dogfish,cartilaginous fishes,,,YES,1983,5,May,1983,9,Sep,May-Sep,May-Sep,1983,34,,,#NAME?,,,,,,,2.6,7.5,,,,5.9,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Soupfin shark,cartilaginous fishes,,,NO,1981,5,May,1984,9,Sep,May-Sep,May-Sep,1981-1984,14,,,#NAME?,,,,,,,0.9,0.3,,,,8.3,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,Pacific herring,bony fishes,,,YES,1984,6,Jun,1984,9,Sep,Jun-Sep,Jun-Sep,1984,7,,,#NAME?,,,,,,,,0.2,,,,16.7,,OR_WA,OR_WA,stomach sampling,Brodeuretal1987
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,6,Jun,Jun,Jun,2005-2006,,31.7,46.3,31.7-46.3,31.7-46.3,39,,,,,,,,,,,,CA_OR_WA_BC,CA_OR_WA_BC,stomach sampling,Glaser2011
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,7,Jul,2006,7,Jul,Jul,Jul,2005-2006,,23,50.3,23-50.3,23-50.3,37,,,,,,,,,,,,CA_OR_WA_BC,CA_OR_WA_BC,stomach sampling,Glaser2011
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,8,Aug,2006,8,Aug,Aug,Aug,2005-2006,,23.3,37,23.3-37,23.3-37,30.1,,,,,,,,,,,,CA_OR_WA_BC,CA_OR_WA_BC,stomach sampling,Glaser2011
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,9,Sep,2006,9,Sep,Sep,Sep,2005-2006,,27,41.5,27-41.5,27-41.5,34.3,,,,,,,,,,,,CA_OR_WA_BC,CA_OR_WA_BC,stomach sampling,Glaser2011
Northern anchovy,North pacific albacora,bony fishes,,,YES,1983,8,Aug,1983,8,Aug,Aug,Aug,1983,,22,47,22-47,22-47,33.6,4.97,,,,,44.1,Vol,,,,,CA,CA,stomach sampling,Bernardetal1985
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,421,,,#NAME?,,34.7,10,,size is a mean of individuals from the three areas,otolith length_standard length regressions ,,,,,,,,CA_OR_WA,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,1968,,#N/A,1969,,#N/A,#N/A,,1968-1969,,,,#NAME?,,,,,,,,,,67.8,,,,NorhernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,,,,#NAME?,,,,,,,,,,29.8,,,,NorhernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,1949,,#N/A,1950,,#N/A,#N/A,,1949-1950,,,,#NAME?,,,,,,,,,,37.6,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,1954,,#N/A,1957,,#N/A,#N/A,,1954-1957,,,,#NAME?,,,,,,,,,,0,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,1968,,#N/A,1969,,#N/A,#N/A,,1968-1969,,,,#NAME?,,,,,,,,,,2.1,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,,,,#NAME?,,,,,,,,,,1.5,,,,CentralCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,1949,,#N/A,1950,,#N/A,#N/A,,1949-1950,,,,#NAME?,,,,,,,,,,2.8,,,,SouthernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,1968,,#N/A,1969,,#N/A,#N/A,,1968-1969,,,,#NAME?,,,,,,,,,,17.1,,,,SouthernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,juvenile,juvenile,YES,2005,,#N/A,2006,,#N/A,#N/A,,2005-2006,,,,#NAME?,,,,,,,,,,67.4,,,,SouthernCaliforniaCurrent,CA_OR_WA,stomach sampling,Glaser2010
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,371,,,#NAME?,,,,,%N and %FO is calculated for the three areas,,11.86,,,,,52.8,,CA_OR_WA_BC,CA_OR_WA_BC,stomach sampling,Glaseretal2015
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,,,,#NAME?,,,,,,,,60.8,,67.4,,,,SouthCA,CA,stomach sampling,Glaseretal2015
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,,,,#NAME?,,,,,,,,1.3,,1.5,,,,CA,CA,stomach sampling,Glaseretal2015
Northern anchovy,North pacific albacora,bony fishes,,,YES,2005,6,Jun,2006,9,Sep,Jun-Sep,Jun-Sep,2005-2006,,,,#NAME?,,,,,,,,20.8,,29.8,,,,OR_WA_BC,OR_WA_BC,stomach sampling,Glaseretal2015
Northern anchovy,North pacific albacora,bony fishes,TotalForkLengthRange522mm_932mm,,YES,1968,7,Jul,1968,11,Nov,Jul-Nov,Jul-Nov,1968,627,,,#NAME?,,,,,,,24.9,43.6,Vol,,,27.9,,CA_OR_WA,CA_OR_WA,stomach sampling,Pinkasetal1971
Northern anchovy,North pacific albacora,bony fishes,TotalForkLengthRange522mm_932mm,,YES,1969,7,Jul,1969,11,Nov,Jul-Nov,Jul-Nov,1969,200,,,#NAME?,,,,,,,9.6,43.9,Vol,,,22,,SouthernCA_OR_WA,CA_OR_WA,stomach sampling,Pinkasetal1971
Northern anchovy,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2002,7,Jul,2002,7,Jul,Jul,Jul,2002,14,,,#NAME?,,,,,,,,,,,,21.4,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2003,3,Mar,2003,10,Oct,Mar-Oct,Mar-Oct,2003,75,,,#NAME?,,,,,,,,,,,,44.4,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2004,3,Mar,2004,3,Mar,Mar,Mar,2004,56,,,#NAME?,,,,,,,,,,,,60.7,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2005,3,Mar,2005,4,Apr,Mar-Apr,Mar-Apr,2005,6,,,#NAME?,,,,,,,,,,,,66.7,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2006,2,Feb,2006,7,Jul,Feb-Jul,Feb-Jul,2006,27,,,#NAME?,,,,,,,,,,,,81.5,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,juvenile,juvenile,YES,2002,,#N/A,2006,,#N/A,#N/A,,2002-2006,,58,168,58-168,58-168,,,110,Size of prey is refered to all samples from 2002-2006,otolith length_standard length regressions ,,,,,,,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,adult-female,adult,YES,2002,7,Jul,2002,7,Jul,Jul,Jul,2002,94,,,#NAME?,,,,,,,,,,,,9.6,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,adult-female,adult,YES,2003,3,Mar,2003,10,Oct,Mar-Oct,Mar-Oct,2003,98,,,#NAME?,,,,,,,,,,,,53.1,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,adult-female,adult,YES,2004,3,Mar,2004,3,Mar,Mar,Mar,2004,35,,,#NAME?,,,,,,,,,,,,48.6,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,adult-female,adult,YES,2005,3,Mar,2005,4,Apr,Mar-Apr,Mar-Apr,2005,49,,,#NAME?,,,,,,,,,,,,69.4,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,adult-female,adult,YES,2006,2,Feb,2006,7,Jul,Feb-Jul,Feb-Jul,2006,20,,,#NAME?,,,,,,,,,,,,35,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,adult-female,adult,YES,2002,,#N/A,2006,,#N/A,#N/A,,2002-2006,,47,197,47-197,47-197,,,110,Size of prey is refered to all samples from 2002-2006,otolith length_standard length regressions ,,,,,,,,CA,CA,fecal samples,Orretal2011
Northern anchovy,CA Sea Lion,pinnipeds,,,YES,1981,,#N/A,1995,,#N/A,#N/A,,1981-1995,2543,,,#NAME?,,,,,,,,,,,,45.4,,SanClementeIs,CA,scat and spewing samples ,LowryandCarreta1999
Northern anchovy,CA Sea Lion,pinnipeds,,,YES,1981,,#N/A,1995,,#N/A,#N/A,,1981-1995,2980,,,#NAME?,,,,,,,,,,,,29.4,,SanNicolasIs,CA,scat and spewing samples ,LowryandCarreta1999
Northern anchovy,CA Sea Lion,pinnipeds,,,YES,1981,,#N/A,1995,,#N/A,#N/A,,1981-1995,736,,,#NAME?,,,,,,,,,,,,48.9,,StaBarbaraIs,CA,scat and spewing samples ,LowryandCarreta1999
Northern anchovy,Steller Sea Lion,pinnipeds,,,YES,1986,5,May,2007,8,Aug,May-Aug,May-Aug,1986-2007,,,,#NAME?,,,,,,,,,,,,11.9,,CA_OR,CA_OR,scat samples ,Riemeretal2011
Northern anchovy,Steller Sea Lion,pinnipeds,,,YES,1986,9,Sep,2007,4,Apr,Sep-Apr,Sep-Apr,1986-2007,,,,#NAME?,,,,,,,,,,,,16.1,,CA_OR,CA_OR,scat samples ,Riemeretal2011
Northern anchovy,Pacific harbor seal,pinnipeds,adult and sub-adult,adult,YES,1990,2,Feb,1992,6,Jun,Feb-Jun,Feb-Jun,1990-1992,106,40,150,40-150,40-150,95.07,,,pupping season (february-June),otolith length_standard length regressions ,6.6,2.5,,,,20.8,,SanFranciscoBay,CA,fecal samples  ,Torok1994
Northern anchovy,Pacific harbor seal,pinnipeds,adult and sub-adult,adult,YES,1990,7,Jul,1992,12,Dec,Jul-Dec,Jul-Dec,1990-1992,47,60,130,60-130,60-130,96.67,,,Non-pupping season (July-december),otolith length_standard length regressions ,1.6,0.6,,,,17,,SanFranciscoBay,CA,fecal samples  ,Torok1994
Northern anchovy,Pacific harbor seal,pinnipeds,,,YES,2006,3,Mar,2006,6,Jun,Mar-Jun,Mar-Jun,2006,35,,,#NAME?,,,,,,,,,,,,8.6,,DraytonHarbor_EasternBays,WA,scat samples ,LuxaandAcevedo2013
Northern anchovy,Pacific harbor seal,pinnipeds,,,YES,2006,7,Jul,2006,9,Sep,Jul-Sep,Jul-Sep,2006,119,,,#NAME?,,,,,,,,,,,,35.3,,DraytonHarbor_EasternBays,WA,scat samples ,LuxaandAcevedo2013
Northern anchovy,Pacific harbor seal,pinnipeds,,,YES,2006,7,Jul,2006,9,Sep,Jul-Sep,Jul-Sep,2006,44,,,#NAME?,,,,,,,,,,,,0,,PadillaBay_EasternBays,WA,scat samples ,LuxaandAcevedo2013
Northern anchovy,Pacific harbor seal,pinnipeds,,,YES,1997,9,Sep,1997,11,Nov,Sep-Nov,Sep-Nov,1997,148,,,#NAME?,,,,,,,,,,,,5.5,3.2,UmpquaRiver,OR,scat samples ,Orretal2014
Northern anchovy,Pacific harbor seal,pinnipeds,,,YES,1998,3,Mar,1998,6,Jun,Mar-Jun,Mar-Jun,1998,254,,,#NAME?,,,,,,,,,,,,0,,UmpquaRiver,OR,scat samples ,Orretal2014
Northern anchovy,Pacific harbor seal,pinnipeds,,,YES,1998,8,Aug,1998,10,Oct,Aug-Oct,Aug-Oct,1998,326,,,#NAME?,,,,,,,,,,,,2.1,2,UmpquaRiver,OR,scat samples ,Orretal2014
Northern anchovy,Humpback whale,cetaceans,TotalLengthMean43.3feets_SD6.5feets,,YES,1920,,#N/A,1920,,#N/A,#N/A,,1920,310,,,#NAME?,,,,,,,,,,,,21.3,,CA,CA,stomach sampling,Clapham1997
Northern anchovy,Pacific bonito,bony fishes,TotalForkLengthRange290mm_780mm,,NO,1968,1,Jan,1968,12,Dec,Jan-Dec,Jan-Dec,1968,645,,,#NAME?,,,,,,,40,73.5,Vol,,,52.8,,SCACoast_OffshoreIs,CA,stomach sampling,Pinkasetal1971
Northern anchovy,Pacific bonito,bony fishes,TotalForkLengthRange290mm_780mm,,NO,1969,1,Jan,1969,9,Sep,Jan-Sep,Jan-Sep,1969,853,,,#NAME?,,,,,,,90,77.4,Vol,,,58.9,,SCACoast_OffshoreIs_BajaCal,CA_MEX,stomach sampling,Pinkasetal1971
Northern anchovy,Pink-footed  shearwater ,sea birds,,,YES,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,5,,,#NAME?,,,,,,,8.9,,,,,60,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Sooty shearwater ,sea birds,,,YES,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,21,,,#NAME?,,,,,,,8.6,,,,,61.9,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,California gull,sea birds,,,YES,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,5,,,#NAME?,,,,,,,16.7,,,,,40,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Mew gull,sea birds,,,NO,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,3,,,#NAME?,,,,,,,26.7,,,,,100,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Glaucous-winged gull,sea birds,,,YES,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,8,,,#NAME?,,,,,,,15,,,,,12.5,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Bonapartes gull,sea birds,,,NO,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,12,,,#NAME?,,,,,,,1.7,,,,,16.7,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Black-legged kittiwakes ,sea birds,,,YES,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,8,,,#NAME?,,,,,,,11.8,,,,,25,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Rhinoceros auklet,sea birds,,,YES,1974,9,Sep,1975,4,Apr,Sep-Apr,Sep-Apr,1974-1975,26,,,#NAME?,,,,,,,9,,,,,38.5,,MonterreyBay,CA,stomach sampling,BaltzandMorejohn1977
Northern anchovy,Rhinoceros auklet,sea birds,chicks,chicks,YES,2012,6,Jun,2012,7,Jul,Jun-Jul,Jun-Jul,2012,,81,123,81-123,81-123,,,,,,6,5,,,,,,AnioNuevoIs,CA,dropped prey items in nest,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,chicks,chicks,YES,2013,6,Jun,2013,7,Jul,Jun-Jul,Jun-Jul,2013,,85,119,85-119,85-119,,,,,,36,36,,,,,,AnioNuevoIs,CA,dropped prey items in nest,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2012,6,Jun,2012,7,Jul,Jun-Jul,Jun-Jul,2012,52,,,#NAME?,,,,,,Fall_winter,,,,71,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2012,6,Jun,2012,7,Jul,Jun-Jul,Jun-Jul,2012,55,,,#NAME?,,,,,,Pre-breeding season,,,,79,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2012,6,Jun,2012,7,Jul,Jun-Jul,Jun-Jul,2012,38,,,#NAME?,,,,,,Incubation,,,,4,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2012,6,Jun,2012,7,Jul,Jun-Jul,Jun-Jul,2012,26,,,#NAME?,,,,,,Chick-rearing,,,,9,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2013,6,Jun,2013,7,Jul,Jun-Jul,Jun-Jul,2013,49,,,#NAME?,,,,,,Fall_winter,,,,73,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2013,6,Jun,2013,7,Jul,Jun-Jul,Jun-Jul,2013,55,,,#NAME?,,,,,,Pre-breeding season,,,,53,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2013,6,Jun,2013,7,Jul,Jun-Jul,Jun-Jul,2013,34,,,#NAME?,,,,,,Incubation,,,,5,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Rhinoceros auklet,sea birds,adults,adults,YES,2013,6,Jun,2013,7,Jul,Jun-Jul,Jun-Jul,2013,24,,,#NAME?,,,,,,Chick-rearing,,,,29,,,,AnioNuevoIs,CA,isotopes from feathers 15N and 13C,Carleetal2015
Northern anchovy,Xantuss murrellet,sea birds,adults,adults,YES,2002,5,May,2002,5,May,May,May,2002,7,95,110,95-110,95-110,,,,,Sub-adult and adult stage found,,,,,,29,,AnacapaIs,CA,diggestive tracts examination,Hamiltonetal2004
Northern anchovy,Xantuss murrellet,sea birds,,,YES,1977,,#N/A,1977,,#N/A,#N/A,,1977,19,,,#NAME?,,,,,,larval stage found,,,,,,42,,StaBarbaraIs,CA,stomach sampling,Huntetal1979citedbyHamiltonetal2004
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1972,,#N/A,1972,,#N/A,#N/A,,1972,157,,,#NAME?,,,,,,,,45,,,,,,StaBarbaraIs,CA,regurgitation,HuntandButler1980
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1975,,#N/A,1975,,#N/A,#N/A,,1975,18,,,#NAME?,,,,,,,,32,,,,,,StaBarbaraIs,CA,regurgitation,HuntandButler1980
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1976,,#N/A,1976,,#N/A,#N/A,,1976,79,,,#NAME?,,,,,,,,28,,,,,,StaBarbaraIs,CA,regurgitation,HuntandButler1980
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1977,,#N/A,1977,,#N/A,#N/A,,1977,153,,,#NAME?,,,,,,,,18,,,,,,StaBarbaraIs,CA,regurgitation,HuntandButler1980
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1975,,#N/A,1977,,#N/A,#N/A,,1975-1977,250,,,#NAME?,,,,,,,,,,,,24,,StaBarbaraIs,CA,regurgitation,HuntandButler1980
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1975,,#N/A,1975,,#N/A,#N/A,,1975,21,,,#NAME?,,,,,,,,16,,,,,,SanNicolasIs,CA,regurgitation,HuntandButler1980
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1976,,#N/A,1976,,#N/A,#N/A,,1976,39,,,#NAME?,,,,,,,,22,,,,,,SanNicolasIs,CA,regurgitation,HuntandButler1980
Northern anchovy,Western gull,sea birds,chicks,chicks,NO,1977,,#N/A,1977,,#N/A,#N/A,,1977,15,,,#NAME?,,,,,,,,0,,,,,,SanNicolasIs,CA,regurgitation,HuntandButler1980
