Predator,Importance,ImportanceMean,Prey,PreyInAbund,Predator_type,Region,PredName
Chinook salmon adult OR_WA,10,10,Pacific hake,Pacific hake Pacific Coast,bony fishes,OR_WA,Chinook salmon
Common murre  Coast_FarallonGulf,5,5,Pacific hake,Pacific hake Pacific Coast,sea birds,Coast_FarallonGulf,Common murre
Common murre  Midshelf_FarallonGulf,99,97,Pacific hake,Pacific hake Pacific Coast,sea birds,Midshelf_FarallonGulf,Common murre
Common murre  OuterShelf_FarrallonGulf,18,18,Pacific hake,Pacific hake Pacific Coast,sea birds,OuterShelf_FarrallonGulf,Common murre
Common thresher shark  CA_OR,9.17,5.135,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,CA_OR,Common thresher shark
Common thresher shark  CA_OR_WA,21.78,21.78,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,CA_OR_WA,Common thresher shark
Dalls porpoise  VancouverIs_SanJuanIs,5.7,5.7,Pacific hake,Pacific hake Pacific Coast,cetaceans,VancouverIs_SanJuanIs,Dalls porpoise
Harbor porpoise  MonterreyBay,20.42,12.98666667,Pacific hake,Pacific hake Pacific Coast,cetaceans,MonterreyBay,Harbor porpoise
Harbor porpoise  VancouverIs_SanJuanIs,12.2,12.2,Pacific hake,Pacific hake Pacific Coast,cetaceans,VancouverIs_SanJuanIs,Harbor porpoise
Humboldt_jumbo_squid   CA_OR_WA,28,19.65,Pacific hake,Pacific hake Pacific Coast,invertebrates,CA_OR_WA,Humboldt_jumbo_squid 
Indo-pacific blue marlin  BajaCal,80.75,35.2275,Pacific hake,Pacific hake Pacific Coast,bony fishes,BajaCal,Indo-pacific blue marlin
Jack mackerel  OffColumbiaRiver,20.9,20.9,Pacific hake,Pacific hake Pacific Coast,bony fishes,OffColumbiaRiver,Jack mackerel
Lincod  OR,2.47,2.47,Pacific hake,Pacific hake Pacific Coast,bony fishes,OR,Lincod
Long-beaked common dolphin  CA,51.91,51.91,Pacific hake,Pacific hake Pacific Coast,cetaceans,CA,Long-beaked common dolphin
North pacific albacora  CA,37.3,37.3,Pacific hake,Pacific hake Pacific Coast,bony fishes,CA,North pacific albacora
North pacific albacora  CA_OR_WA,0.1,0.1,Pacific hake,Pacific hake Pacific Coast,bony fishes,CA_OR_WA,North pacific albacora
North pacific albacora  CA_OR_WA_BC,27.1,27.1,Pacific hake,Pacific hake Pacific Coast,bony fishes,CA_OR_WA_BC,North pacific albacora
North pacific albacora  OR_WA_BC,16.5,16.5,Pacific hake,Pacific hake Pacific Coast,bony fishes,OR_WA_BC,North pacific albacora
North pacific albacora  SouthCA,0,0,Pacific hake,Pacific hake Pacific Coast,bony fishes,SouthCA,North pacific albacora
Northern fur seal  SaintGeorgeIs,0.17,0.17,Pacific hake,Pacific hake Pacific Coast,pinnipeds,SaintGeorgeIs,Northern fur seal
Northern fur seal  SaintPaulIs,0.1,0.1,Pacific hake,Pacific hake Pacific Coast,pinnipeds,SaintPaulIs,Northern fur seal
Pacific bonito  SCACoast_OffshoreIs,0.1,0.1,Pacific hake,Pacific hake Pacific Coast,bony fishes,SCACoast_OffshoreIs,Pacific bonito
Pacific bonito  SCACoast_OffshoreIs_BajaCal,0.1,0.1,Pacific hake,Pacific hake Pacific Coast,bony fishes,SCACoast_OffshoreIs_BajaCal,Pacific bonito
Pacific hake  CA,4.44,4.44,Pacific hake,Pacific hake Pacific Coast,bony fishes,CA,Pacific hake
Pacific hake  OffColumbiaRiver,0.4,0.4,Pacific hake,Pacific hake Pacific Coast,bony fishes,OffColumbiaRiver,Pacific hake
Pacific hake  OR_WA,0.1,0.1,Pacific hake,Pacific hake Pacific Coast,bony fishes,OR_WA,Pacific hake
Pacific hake  SouthCapeBlanco,75.94,75.94,Pacific hake,Pacific hake Pacific Coast,bony fishes,SouthCapeBlanco,Pacific hake
Pacific harbor seal  StraitOfGeorgia,42.6,42.6,Pacific hake,Pacific hake Pacific Coast,pinnipeds,StraitOfGeorgia,Pacific harbor seal
Pacific harbor seal  UmpquaRiver,41.6,28.83333333,Pacific hake,Pacific hake Pacific Coast,pinnipeds,UmpquaRiver,Pacific harbor seal
Pacific white-sided dolphin  CA_WA,34,34,Pacific hake,Pacific hake Pacific Coast,cetaceans,CA_WA,Pacific white-sided dolphin
Sablefish  NorthCapeBlanco,20.19,20.19,Pacific hake,Pacific hake Pacific Coast,bony fishes,NorthCapeBlanco,Sablefish
Sablefish  SouthCapeBlanco,3.34,3.34,Pacific hake,Pacific hake Pacific Coast,bony fishes,SouthCapeBlanco,Sablefish
Short-beaked common dolphin  CA,60.88,60.88,Pacific hake,Pacific hake Pacific Coast,cetaceans,CA,Short-beaked common dolphin
Shortspine thornyhead  NorthCapeBlanco,0.54,0.54,Pacific hake,Pacific hake Pacific Coast,bony fishes,NorthCapeBlanco,Shortspine thornyhead
Shortspine thornyhead  SouthCapeBlanco,66.85,33.425,Pacific hake,Pacific hake Pacific Coast,bony fishes,SouthCapeBlanco,Shortspine thornyhead
Soupfin shark  OR_WA,81.1,81.1,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,OR_WA,Soupfin shark
Spiny dogfish  MonterreyBay,2.76,2.76,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,MonterreyBay,Spiny dogfish
Spiny dogfish  OR_WA,31.2,18.66666667,Pacific hake,Pacific hake Pacific Coast,cartilaginous fishes,OR_WA,Spiny dogfish
Steller Sea Lion  CA_OR,87.1,73.05,Pacific hake,Pacific hake Pacific Coast,pinnipeds,CA_OR,Steller Sea Lion
Steller Sea Lion  SouthEastAK,16,6.16,Pacific hake,Pacific hake Pacific Coast,pinnipeds,SouthEastAK,Steller Sea Lion
Striped marlin  BajaCal,19.75,13.0125,Pacific hake,Pacific hake Pacific Coast,bony fishes,BajaCal,Striped marlin
Western gull chicks AnacapaIs,3,3,Pacific hake,Pacific hake Pacific Coast,sea birds,AnacapaIs,Western gull
Western gull chicks PrinceIs,19,6.75,Pacific hake,Pacific hake Pacific Coast,sea birds,PrinceIs,Western gull
Western gull chicks SanNicolasIs,14,3.75,Pacific hake,Pacific hake Pacific Coast,sea birds,SanNicolasIs,Western gull
Western gull chicks StaBarbaraIs,3,2.333333333,Pacific hake,Pacific hake Pacific Coast,sea birds,StaBarbaraIs,Western gull
Widow rockfish  CA,6.8,6.8,Pacific hake,Pacific hake Pacific Coast,bony fishes,CA,Widow rockfish
Widow rockfish  OR_WA,0.7,0.7,Pacific hake,Pacific hake Pacific Coast,bony fishes,OR_WA,Widow rockfish
Yellowtail rockfish  OR_WA,32.5,16.3,Pacific hake,Pacific hake Pacific Coast,bony fishes,OR_WA,Yellowtail rockfish
Blue shark  BajaCal,30,9.575,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,BajaCal,Blue shark
Blue shark  CA_OR_WA,2.85,2.85,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,CA_OR_WA,Blue shark
Bluefin tuna  CA_BajaCal,0.01,0.01,Pacific mackerel,Pacific chub mackerel Pacific Coast,bony fishes,CA_BajaCal,Bluefin tuna
Brandt cormorant  MonterreyBay,0.2,0.15,Pacific mackerel,Pacific chub mackerel Pacific Coast,sea birds,MonterreyBay,Brandt cormorant
CA Sea Lion  SanClementeIs,10.3,10.3,Pacific mackerel,Pacific chub mackerel Pacific Coast,pinnipeds,SanClementeIs,CA Sea Lion
CA Sea Lion  SanNicolasIs,15.5,15.5,Pacific mackerel,Pacific chub mackerel Pacific Coast,pinnipeds,SanNicolasIs,CA Sea Lion
CA Sea Lion  StaBarbaraIs,8,8,Pacific mackerel,Pacific chub mackerel Pacific Coast,pinnipeds,StaBarbaraIs,CA Sea Lion
CA Sea Lion adult CA,15,4,Pacific mackerel,Pacific chub mackerel Pacific Coast,pinnipeds,CA,CA Sea Lion
CA Sea Lion juvenile CA,7.4,1.533333333,Pacific mackerel,Pacific chub mackerel Pacific Coast,pinnipeds,CA,CA Sea Lion
Common thresher shark  CA_OR,24.7,13.245,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,CA_OR,Common thresher shark
Common thresher shark  CA_OR_WA,7.84,7.84,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,CA_OR_WA,Common thresher shark
Elegant tern  LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,27.8,2.027368421,Pacific mackerel,Pacific chub mackerel Pacific Coast,sea birds,LosAngelesHarbor_BolsaChica_SouthBaySaltWorks,Elegant tern
Humboldt_jumbo_squid   GOC,20,14.5,Pacific mackerel,Pacific chub mackerel Pacific Coast,invertebrates,GOC,Humboldt_jumbo_squid 
Indo-pacific blue marlin  BajaCal,4.18,4.18,Pacific mackerel,Pacific chub mackerel Pacific Coast,bony fishes,BajaCal,Indo-pacific blue marlin
Long-beaked common dolphin  CA,5,5,Pacific mackerel,Pacific chub mackerel Pacific Coast,cetaceans,CA,Long-beaked common dolphin
North pacific albacora  CA_OR_WA,0.1,0.1,Pacific mackerel,Pacific chub mackerel Pacific Coast,bony fishes,CA_OR_WA,North pacific albacora
Pacific hake  OR_WA,0.1,0.1,Pacific mackerel,Pacific chub mackerel Pacific Coast,bony fishes,OR_WA,Pacific hake
Pacific harbor seal  UmpquaRiver,4.6,3.066666667,Pacific mackerel,Pacific chub mackerel Pacific Coast,pinnipeds,UmpquaRiver,Pacific harbor seal
Sailfish  BajaCal_GOC,14.2,14.2,Pacific mackerel,Pacific chub mackerel Pacific Coast,bony fishes,BajaCal_GOC,Sailfish
Short-beaked common dolphin  CA,16.67,16.67,Pacific mackerel,Pacific chub mackerel Pacific Coast,cetaceans,CA,Short-beaked common dolphin
Shortfin mako shark  CA_OR_WA,4.09,4.09,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,CA_OR_WA,Shortfin mako shark
Silky shark  PuntaBelcher_BajaCal,17.7,17.7,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,PuntaBelcher_BajaCal,Silky shark
Silky shark  PuntaLobos_BajaCal,0.7,0.7,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,PuntaLobos_BajaCal,Silky shark
Smooth Hammershead shark  Female BajaCal,0.06,0.06,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,BajaCal,Smooth Hammershead shark 
Smooth Hammershead shark  juvenile GOC,26.84,19.475,Pacific mackerel,Pacific chub mackerel Pacific Coast,cartilaginous fishes,GOC,Smooth Hammershead shark 
Steller Sea Lion  CA_OR,2.1,1.05,Pacific mackerel,Pacific chub mackerel Pacific Coast,pinnipeds,CA_OR,Steller Sea Lion
Striped marlin  BajaCal,41.91,26.598,Pacific mackerel,Pacific chub mackerel Pacific Coast,bony fishes,BajaCal,Striped marlin
Atlantic bluefin tuna  Cape Cod Bay,3.1,3.1,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Cape Cod Bay,Atlantic bluefin tuna
Atlantic bluefin tuna  Great South Channel,48.4,48.4,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Great South Channel,Atlantic bluefin tuna
Atlantic bluefin tuna  Jeffreys Ledge,87.2,87.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Jeffreys Ledge,Atlantic bluefin tuna
Atlantic bluefin tuna  South of Marthas Vineyards,2.5,2.5,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,South of Marthas Vineyards,Atlantic bluefin tuna
Atlantic bluefin tuna  Stellwagen Bank,6,6,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Stellwagen Bank,Atlantic bluefin tuna
Atlantic cod  Georges Bank,12,12,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Atlantic cod
Atlantic cod  Gulf of Maine,22,22,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Gulf of Maine,Atlantic cod
Atlantic cod  Scotian shelf,10,10,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Scotian shelf,Atlantic cod
Atlantic cod  Southern New England,16,16,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Southern New England,Atlantic cod
Atlantic halibut  North Atlantic Bight,4,4,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,North Atlantic Bight,Atlantic halibut
Atlantic mackerel  Georges Bank,1.8,1.8,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Atlantic mackerel
Barndoor skate  Georges Bank,7.2,7.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Georges Bank,Barndoor skate
Black sea bass  Inshore of South Cape Hatteras,2,2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Inshore of South Cape Hatteras,Black sea bass
Blue shark  ,0.4,0.4,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,,Blue shark
Bluefish  Georges Bank,18.7,18.7,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Bluefish
Bluefish  Inshore of North Cape Hatteras,0.2,0.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Inshore of North Cape Hatteras,Bluefish
Bluefish  South New England,2.2,2.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,South New England,Bluefish
Bluefish adult Georges Bank,17.6,14.45,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Bluefish
Bluefish adult Hatteras-Montauk,0.1,0.1,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Hatteras-Montauk,Bluefish
Fin whale  Georges Bank-Gulf of Maine,50,30.85714286,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cetaceans,Georges Bank-Gulf of Maine,Fin whale
Goosefish  Southern New England,1.3,1.3,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Southern New England,Goosefish
Gray seal  Nantucket Sound,0.1,0.1,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Nantucket Sound,Gray seal
Gray seal  Sable Island,1,1,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Sable Island,Gray seal
Gray seal  Scotian shelf,65.8,37.4,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Scotian shelf,Gray seal
Gray seal Female Sable Island,8.6,5.733333333,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Sable Island,Gray seal
Gray seal juvenile Sable Island,0.3,0.3,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Sable Island,Gray seal
Gray seal Male Sable Island,3.2,1.6,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Sable Island,Gray seal
Haddock  Georges Bank,1.4,1.4,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Haddock
Harbor porpoise  Bay of Fundy,64,64,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cetaceans,Bay of Fundy,Harbor porpoise
Harbor porpoise  Gulf of Maine,44,44,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cetaceans,Gulf of Maine,Harbor porpoise
Harbor seal  Southern New England,1.8,1.8,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Southern New England,Harbor seal
Pollock  Georges Bank,10.5,10.5,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Pollock
Pollock  Gulf of Maine,4.7,4.7,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Gulf of Maine,Pollock
Pollock  Scotian shelf,9.1,9.1,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Scotian shelf,Pollock
Porbeagle shark  FromGeorges Bank_To_Grand Banks of Newfoundland,6.2,6.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,FromGeorges Bank_To_Grand Banks of Newfoundland,Porbeagle shark
Red hake  Georges Bank,5.2,5.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Red hake
Red hake  Gulf of Maine,1.6,1.6,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Gulf of Maine,Red hake
Sea raven  Georges Bank_TO_S New England,32,32,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank_TO_S New England,Sea raven
Shortfin squid  Newfoundland,3,3,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,invertebrate,Newfoundland,Shortfin squid
Silver hake  Georges Bank,13,9.15,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Silver hake
Silver hake  Gulf of Maine,6,6,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Gulf of Maine,Silver hake
Silver hake  Mid-Atlantic Bight,0.2,0.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Mid-Atlantic Bight,Silver hake
Silver hake  Scotian shelf,21.9,16.95,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Scotian shelf,Silver hake
Silver hake  South New England,0.3,0.3,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,South New England,Silver hake
Silver hake  Southern New England,8,8,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Southern New England,Silver hake
Smooth hammerhead  ,17.1,17.1,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,,Smooth hammerhead
Spiny dogfish  Georges Bank_TO_S New England,28,28,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank_TO_S New England,Spiny dogfish
Spiny dogfish  Georges Bank-Gulf of Maine,34.5,11.41162791,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Georges Bank-Gulf of Maine,Spiny dogfish
Spiny dogfish  Inshore of North Cape Hatteras,6,6,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Inshore of North Cape Hatteras,Spiny dogfish
Spiny dogfish  Southern New England,1.9,1.9,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Southern New England,Spiny dogfish
Spotted hake  Georges Bank,3,3,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Georges Bank,Spotted hake
Striped bass  Cape Cod Bay,0.1,0.1,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Cape Cod Bay,Striped bass
Striped bass  Chesapeake bay,34.5,18.02,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Chesapeake bay,Striped bass
Striped bass  North Carolina Coast,7.3,5.7,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,North Carolina Coast,Striped bass
Striped bass  North Shore,5.8,5.8,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,North Shore,Striped bass
Summer flounder  Mid Atlantic Bight,2.8,2.8,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Mid Atlantic Bight,Summer flounder
Summer flounder  South New England,8,8,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,South New England,Summer flounder
Swordfish  ,0.2,0.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,,Swordfish
Thorny skate  Georges Bank,6.5,6.5,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Georges Bank,Thorny skate
Thorny skate  Gulf of Maine,13,10.35,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Gulf of Maine,Thorny skate
Thorny skate  Inshore of North Cape Hatteras,57.8,57.8,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Inshore of North Cape Hatteras,Thorny skate
Weakfish  Mid Atlantic Bight,3.9,3.9,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,Mid Atlantic Bight,Weakfish
Western Atlantic harbor seal   Atlantic coast,36,31.025,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Atlantic coast,Western Atlantic harbor seal 
Western Atlantic harbor seal   Bay of Fundy,41.3,25.45,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Bay of Fundy,Western Atlantic harbor seal 
Western Atlantic harbor seal   Gulf of Maine,6,6,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,pinnipeds,Gulf of Maine,Western Atlantic harbor seal 
White hake  ,10,7,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,,White hake
White hake  North West Atlantic,18.2,18.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,bony fishes,North West Atlantic,White hake
White-sided dolphin  Gulf of Maine,19,19,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cetaceans,Gulf of Maine,White-sided dolphin
Winter skate  Georges Bank,3.2,3.2,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Georges Bank,Winter skate
Winter skate  Gulf of Maine,3.7,3.7,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,Gulf of Maine,Winter skate
Winter skate  South New England,3.6,3.6,Atlantic herring,Atlantic herring Northwestern Atlantic Coast,cartilaginous fishes,South New England,Winter skate
Atlantic bluefin tuna  Jeffreys Ledge,2.3,2.3,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Jeffreys Ledge,Atlantic bluefin tuna
Atlantic bluefin tuna adult Cape Lookout,98.97,94.68833333,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Cape Lookout,Atlantic bluefin tuna
Atlantic bottlenose dolphin  NorthCarolina,4,4,Atlantic menhaden,Atlantic menhaden Atlantic,cetaceans,NorthCarolina,Atlantic bottlenose dolphin
Atlantic bottlenose dolphin  SouthCarolina_Estuarine,1,1,Atlantic menhaden,Atlantic menhaden Atlantic,cetaceans,SouthCarolina_Estuarine,Atlantic bottlenose dolphin
Atlantic bottlenose dolphin  SouthCarolina_Oceanic,4,4,Atlantic menhaden,Atlantic menhaden Atlantic,cetaceans,SouthCarolina_Oceanic,Atlantic bottlenose dolphin
Bluefish  Inshore of North Cape Hatteras,4.1,4.1,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Inshore of North Cape Hatteras,Bluefish
Bluefish  Mid Atlantic Bight,1.8,1.8,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Mid Atlantic Bight,Bluefish
Bluefish juvenile Long Island bays,31.6,31.6,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Long Island bays,Bluefish
Brown pelican  Florida,14,14,Atlantic menhaden,Atlantic menhaden Atlantic,sea birds,Florida,Brown pelican
Harbor porpoise  Bay of Fundy,2,2,Atlantic menhaden,Atlantic menhaden Atlantic,cetaceans,Bay of Fundy,Harbor porpoise
Harbor porpoise  Gulf of Maine,1,1,Atlantic menhaden,Atlantic menhaden Atlantic,cetaceans,Gulf of Maine,Harbor porpoise
Osprey  Chesapeake bay,75,75,Atlantic menhaden,Atlantic menhaden Atlantic,sea birds,Chesapeake bay,Osprey
Osprey  Lower estuarine sites-Chesapeake bay,24.2,24.2,Atlantic menhaden,Atlantic menhaden Atlantic,sea birds,Lower estuarine sites-Chesapeake bay,Osprey
Osprey  Upper etsuarine sites-Chesapeake bay,1.5,1.5,Atlantic menhaden,Atlantic menhaden Atlantic,sea birds,Upper etsuarine sites-Chesapeake bay,Osprey
Sandbar shark  Gulf of Maine,3.36,3.36,Atlantic menhaden,Atlantic menhaden Atlantic,cartilaginous fishes,Gulf of Maine,Sandbar shark
Shortfin mako shark  North Atlantic Bight,0.1,0.1,Atlantic menhaden,Atlantic menhaden Atlantic,cartilaginous fishes,North Atlantic Bight,Shortfin mako shark
Silky shark  ,16.9,16.9,Atlantic menhaden,Atlantic menhaden Atlantic,cartilaginous fishes,,Silky shark
Spiny dogfish  ,0.1,0.1,Atlantic menhaden,Atlantic menhaden Atlantic,cartilaginous fishes,,Spiny dogfish
Spiny dogfish  FromCapeHatteras_TO_Virginia,59.82,59.82,Atlantic menhaden,Atlantic menhaden Atlantic,cartilaginous fishes,FromCapeHatteras_TO_Virginia,Spiny dogfish
Spiny dogfish  NorthCarolina,31.05,31.05,Atlantic menhaden,Atlantic menhaden Atlantic,cartilaginous fishes,NorthCarolina,Spiny dogfish
Spiny dogfish Female NorthCarolina,1.22,1.22,Atlantic menhaden,Atlantic menhaden Atlantic,cartilaginous fishes,NorthCarolina,Spiny dogfish
Striped bass  ,68.8,68.8,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,,Striped bass
Striped bass  Chesapeake bay,78.97,51.24333333,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Chesapeake bay,Striped bass
Striped bass  North Carolina Coast,94.5,58.4,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,North Carolina Coast,Striped bass
Striped bass juvenile+adult Cape Cod Bay,17.2,17.2,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Cape Cod Bay,Striped bass
Striped bass juvenile+adult Nantucket Sound,5.5,5.5,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,Nantucket Sound,Striped bass
Striped bass juvenile+adult North Shore,22.6,22.6,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,North Shore,Striped bass
Swordfish  ,0.5,0.5,Atlantic menhaden,Atlantic menhaden Atlantic,bony fishes,,Swordfish
Atlantic bluefin tuna  Cape Cod Bay,12.7,12.7,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Cape Cod Bay,Atlantic bluefin tuna
Atlantic bluefin tuna  Great South Channel,0.6,0.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Great South Channel,Atlantic bluefin tuna
Atlantic bluefin tuna  Jeffreys Ledge,2,2,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Jeffreys Ledge,Atlantic bluefin tuna
Atlantic bluefin tuna  South of Marthas Vineyards,56.2,56.2,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,South of Marthas Vineyards,Atlantic bluefin tuna
Atlantic bluefin tuna  Stellwagen Bank,2.6,2.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Stellwagen Bank,Atlantic bluefin tuna
Atlantic cod  North West Atlantic,11.5,11.5,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,North West Atlantic,Atlantic cod
Bigeye thresher shark  ,1.5,1.5,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cartilaginous fishes,,Bigeye thresher shark
Bluefish  Georges Bank,1.6,1.6,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Georges Bank,Bluefish
Bluefish  Inshore of North Cape Hatteras,0.2,0.2,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Inshore of North Cape Hatteras,Bluefish
Bluefish  Mid Atlantic Bight,1.7,1.7,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Mid Atlantic Bight,Bluefish
Bluefish adult Hatteras-Montauk,0.9,0.9,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Hatteras-Montauk,Bluefish
Common dolphin  Off New Jersey,8.34,8.34,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,cetaceans,Off New Jersey,Common dolphin
Goosefish  Georges Bank,1.3,1.3,Atlantic mackerel,Atlantic mackerel Gulf of Maine / Cape Hatteras,bony fishes,Georges Bank,Goosefish
